"Provider_Number","Location","County","Address","City","State","Zip","MailingAddress","MailingCity","MailingState","MailingZip","Email","Phone","LicenseCapacity","Operation_Months","Operation_Days","Hours_Open","Hours_Close","Infant_0_To_12mos","Toddler_13mos_To_2yrs","Preschool_3yrs_To_4yrs","Pre_K_Served","School_Age_5yrs_Plus","Ages_Other_Than_Pre_K_Served","CAPS_Enrolled","Has_Evening_Care","Has_Drop_In_Care","Has_School_Age_Summer_Care","Has_Transport_ToFrom_School","Has_Transport_ToFrom_Home","Has_Cacfp","Accreditation_Status","Program_Type","Provider_Type","Exemption_Category","Available_PreK_Slots","Funded_PreK_Slots","QR_Participant","QR_Rated","QR_Rating","Region","IsTemporarilyClosed","TemporaryClosure_StartDate","TemporaryClosure_EndDate","CurrentProgramStatus"
"CCLC-37311","1st Creative Learning Academy #3","Gwinnett","635 Exchange Place","Lilburn","GA","30047","635 Exchange Place","Lilburn","GA","30047","1stcreative@att.net","(678) 404-5573","143","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","7:00 PM","True","True","True","True","True","True","True","False","True","True","True","False","True","","Child Care Learning Center","CCLC","","4","40","True","True","1","NE","False","","","Open"
"DOD-37488","1st Division Child Development Center","Chattahoochee","300 1st Division Rd Bldg 1051","Fort Benning","GA","31905-6627","300 1st Division Rd Bldg 1051","Fort Benning","GA","31905-6627","alison.m.robinson.naf@mail.mil","(706) 689-8698","","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:30 AM","3:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","NAEYC","Department of Defense","DOD","","N/A","","False","False","","SW","False","","","Open"
"CCLC-36694","1st Step Learning Academy L.L.C","Cobb","3217 New MacLand Road Suite 120 & 130","Powder Springs","GA","30127","3217 New MacLand Road Suite 120 & 130","Powder Springs","GA","30127","1ststeplearningacademy1@gmail.com","(678) 401-2379","68","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","7:00 PM","True","True","True","True","True","True","True","False","True","True","True","False","True","","Child Care Learning Center","CCLC","","11","20","False","False","","CW","False","","","Open"
"EX-62139","21st CCLC - Bloomingdale ES @ New Hampstead K8","Chatham","1700 Highgate Bvd","Savannah","GA","31406","1700 Highgate Bvd","Savannah","GA","31406","Marlyn.Westbrook@sccpss.com","(912) 395-3680","","JAN,FEB,MAR,APR,MAY,JUN,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA","8:00 AM","12:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","SACS","Exempt Only","EXMT","Government","N/A","","False","False","","SE","False","","","Open"
"EX-51746","21st Century CCLC-A.B. Wiliams Elementary","Chatham","1150 Wheaton Street","Savannah","GA","31404","402 Market Street","Savannah","GA","31408","Marlyn.Westbrook@sccpss.com","(912) 395-2500","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","4:00 PM","6:30 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Government","N/A","","False","False","","SE","False","","","Open"
"EX-57640","21st Century CLC - Georgetown K-8 School ","Chatham","1516 King George Boulevard","Savannah","GA","31419","1516 King George Boulevard","Savannah","GA","31419","Marlyn.Westbrook@sccpss.com","(912) 395-3475","","JAN,FEB,MAR,APR,MAY,JUN,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA","2:45 PM","5:45 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","SACS","Exempt Only","EXMT","Government","N/A","","False","False","","SE","False","","","Open"
"EX-57636","21st Century CLC - Haven Elementary School ","Chatham","5111 Dillon Ave","Savannah","GA","31405","5111 Dillon Ave","Savannah","GA","31405","marlyn.westbrook@sccpss.com","(912) 429-6436","","JAN,FEB,MAR,APR,MAY,JUN,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA","4:30 PM","6:45 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Government","N/A","","False","False","","SE","False","","","Open"
"EX-51915","21st Century CLC White Bluff ES","Chatham","5330 Montomery Street","Savannah","GA","31405","402 Market Street","Savannah","GA","31406","tabis.hall@sccpss.com","(912) 395-2500","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","4:00 PM","6:30 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Government","N/A","","False","False","","SE","False","","","Open"
"EX-44527","21st Century Community Learning Center at Lyons Upper Elementary School","Toombs","830 South State Street","Lyons","GA","30436","100 VIdalia Sweet Onion Drive","Lyons","GA","30436","familyconnection9@gmail.com","(912) 526-5816","","JAN,FEB,MAR,APR,MAY,JUN,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH","3:15 PM","6:15 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Government","N/A","","False","False","","SE","False","","","Open"
"EX-44528","21st Century Community Learning Center at Toombs County Middle School","Toombs","701 Bulldog Road","Lyons","GA","30436","100 Vidalia Sweet Onion Drive","Vidalia","GA","30474","familyconnection9@gmail.com","(912) 526-8363","","JAN,FEB,MAR,APR,MAY,JUN,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","3:00 PM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Government","N/A","","False","False","","SE","False","","","Open"
"EX-50128","3E Educational Services, STEM Seekers","Fulton","1517 Ralph David Abernathy Boulevard","Atlanta","GA","30310","316 Altoona Place","Atlanta","GA","30310","chantee.earl@gmail.com","(678) 515-7755","","JUN,JUL,AUG","MO,TU,WE,TH,FR","7:30 AM","7:30 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NW","False","","","Open"
"EX-47419","3Ts Summer Academy","Henry","1475 Highway 20 West","McDonough","GA","30253","289 Jonesboro Road Suite 145","McDonough","GA","30253","3tssummeracademy@gmail.com","(678) 263-8962","","JUN,JUL","MO,TU,WE,TH,FR","7:00 AM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SW","False","","","Open"
"EX-47433","3Ts Summer Academy","Peach","211 Davidson Drive","Fort Valley","GA","31030","289 Jonesboro Road","McDonough","GA","30253","3tssummeracademy@gmail.com","(678) 263-8962","","JUN,JUL","MO,TU,WE,TH,FR","7:00 AM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SW","False","","","Open"
"EX-52674","4-E Learning & Prevention Center, Inc dba 4-E Center, Inc","Houston","822 Perimeter Road","Perry","GA","31069","P.O. Box 6916","Warner Robins","GA","31088","fourecenter@yahoo.com","(478) 957-4325","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","7:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SW","False","","","Open"
"EX-68768","4-E Learning & Prevention Center, Inc.","Houston","1103 Russell Pkwy","Warner Robins","GA","31088","1103 Russell Pkwy","Warner Robins","GA","31088","4e.center@gmail.com","(478) 236-2394","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR","7:30 AM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SW","False","","","Open"
"EX-68769","4-E Learning & Prevention Center, Inc.","Houston","137 Thomas Drive","Americus","GA","31709","137 Thomas Drive","Americus","GA","31709","4e.center@gmail.com","(229) 389-3071","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR","7:30 AM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SW","False","","","Open"
"EX-68770","4-E Learning & Prevention Center, Inc.","Dougherty","1915 Palmyra Road","Albany","GA","31701","1915 Palmyra Road","Albany","GA","31701","4e.center@gmail.com","(229) 299-8005","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR","7:30 AM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SW","False","","","Open"
"EX-62678","4PMINC (M.A.R.S.)","Meriwether","105 B West Court Square","Greenville","GA","30222","105 B West Court Square","Greenville","GA","30222","mar812000k@yahoo.com","(770) 927-5052","","JUN,JUL,AUG,OtherSchoolBreak","MO,TU,WE,TH,FR","","","False","False","False","False","False","False","True","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","CW","False","","","Open"
"CCLC-19930","5 Star Childcare & Learning Center","Gwinnett","4492 Lilburn Industrial Way South","Lilburn","GA","30047","4492 Lilburn Industrial Way South","Lilburn","GA","30047","bernicenicole.williams@otterlearning.com","(678) 325-5008","110","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:30 PM","True","True","True","True","True","True","True","False","False","True","True","False","True","","Child Care Learning Center","CCLC","","1","40","True","True","2","NE","False","","","Open"
"CCLC-37464","5 Star Learning Academy","Clayton","191 S. Main Street","Jonesboro","GA","30236","191 S. Main Street","Jonesboro","GA","30236","5staracademy@att.net","(678) 962-3962","49","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","6:00 PM","True","True","True","False","True","True","True","False","False","False","True","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","2","CW","False","","","Open"
"EX-53091","5Star Scholars Corp.","Rockdale","2431 Iris Drive","Conyers","GA","30013","2431 Iris Drive","Conyers","GA","30013","mrsjmj94@yahoo.com","(678) 764-8206","","JAN,FEB,MAR,APR,MAY,JUN,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR","6:45 AM","5:45 PM","False","False","False","False","False","False","False","False","False","False","False","False","True","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","CE","False","","","Open"
"EX-48350","7 Stages' Youth Creates","Fulton","1105 Euclid Ave","Atlanta","GA","30307","1105 Euclid Ave","Atlanta","GA","30307","heidi@7stages.org","(404) 522-8602","","JUN,JUL,AUG","MO,TU,WE,TH,FR","10:00 PM","5:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NW","False","","","Open"
"CCLC-2519","7332-Sugarloaf Montessori","Gwinnett","2270 Meadow Church Road","Duluth","GA","30097","2270 Meadow Church Road","Duluth","GA","30097","zalika.reid@montessori.com","(678) 473-0079","156","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","6:00 PM","False","True","True","True","True","True","False","False","False","True","False","False","False","","Child Care Learning Center","CCLC","","20","20","True","False","","NE","False","","","Open"
"EX-42954","A Better Chance Learning Academy","Lamar","113 Academy Drive","Barnesville","GA","30204","P.O. Box 272","Yatesville","GA","31097","abetterchancelearningacademy@gmail.com","(478) 508-3787","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SW","False","","","Open"
"CCLC-54114","A Better Choice Learning Center","Dooly","515 West Ave","Unadilla","GA","31091","401 Spiller St.","Fort Valley","GA","31030","abrighterchoice@bellsouth.net","(478) 627-3105","27","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:00 PM","True","True","True","False","True","True","True","False","False","False","False","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","SW","False","","","Open"
"CCLC-26288","A Brighter Beginning Childcare Center","Richmond","3423-C Deans Bridge Road","Augusta","GA","30906","3423-C Deans Bridge Road","Augusta","GA","30906","holdeneric6@gmail.com","(706) 793-9776","79","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","12:00 AM","True","True","True","False","True","True","True","True","False","True","True","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","CE","False","","","Open"
"CCLC-24210","A Brighter Choice Early Learning Center, Inc.","Peach","106 Morris Street","Fort Valley","GA","31030","106 Morris Street","Fort Valley","GA","31030","abrighterchoice@bellsouth.net","(478) 827-5073","109","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA","6:30 AM","5:00 PM","True","True","True","False","True","True","True","False","True","True","False","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","2","SW","False","","","Open"
"CCLC-48971","A Brighter Choice Learning Academy","Crawford","140 Lowe Road","Roberta","GA","31078","140 Lowe Road","Roberta","GA","31078","abrighterchoice@bellsouth.net","(478) 827-5073","89","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA","6:30 AM","5:00 PM","True","True","True","False","True","True","True","False","True","True","False","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","2","SW","False","","","Open"
"CCLC-39661","A Brighter Day Early Learning Academy","DeKalb","6267 Memorial Drive, Suite LL","Stone Mountain","GA","30083","6267 Memorial Drive, Suite LL","Stone Mountain","GA","30083","abrighterdayearlylearning@gmail.com","(470) 657-2769","182","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","5:30 PM","True","True","True","True","True","True","True","False","True","False","True","False","True","","Child Care Learning Center","CCLC","","9","40","True","True","2","CE","False","","","Open"
"CCLC-50278","A Bundle of Joy Learning Center","Houston","1450 South Davis Drive","Warner Robins","GA","31088","1450 South Davis Drive","Warner Robins","GA","31088","bundleofjoylearningcenter@yahoo.com","(478) 365-6844","33","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:00 PM","True","True","True","False","True","True","True","False","True","False","True","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","SW","False","","","Open"
"CCLC-3318","A Child's Campus","DeKalb","2780 Flat Shoals Road","Decatur","GA","30034","2780 Flat Shoals Road","Decatur","GA","30034","rkinc2000@aol.com","(404) 241-1321","112","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","5:30 PM","False","True","True","False","True","True","True","False","False","True","False","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","CE","False","","","Open"
"CCLC-14468","A Child's Dream Childcare and Learning Center","Richmond","2502 Deans Bridge Road","Augusta","GA","30906","2502 Deans Bridge Road","Augusta","GA","30906","slugga745@yahoo.com","(706) 736-0030","122","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","6:00 PM","True","True","True","False","True","True","True","True","False","True","True","True","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","CE","False","","","Open"
"CCLC-54714","A Child's Dream Preschool","White","2081 Westmoreland Road","Cleveland","GA","30528","2081 Westmoreland Road","Cleveland","GA","30528","acdeducation2@gmail.com","(706) 348-1445","95","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","6:00 PM","True","True","True","True","True","True","True","False","False","False","False","False","True","","Child Care Learning Center","CCLC","","6","20","True","True","3","NE","False","","","Open"
"CCLC-937","A Child's World - Columbia Rd.","Columbia","4204 Columbia Rd.","Martinez","GA","30907","4416 COLUMBIA RD STE 104","AUGUSTA","GA","30907","askinner@acwchildcare.com","(706) 860-0059","181","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","5:30 AM","6:00 PM","True","True","True","False","True","True","True","True","True","True","True","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","CE","False","","","Open"
"CCLC-39044","A Child's World Afterschool Academy","Burke","567 Pauline Jenkins Street","Waynesboro","GA","30830","567 Pauline Jenkins St","Waynesboro","GA","30830","achildworld.1@comcast.net","(706) 554-0945","111","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","4:30 AM","8:00 PM","False","False","False","False","True","True","True","True","True","False","False","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","3","CE","False","","","Open"
"CCLC-52405","A Childz World","Appling","1422 City Circle Rd","Baxley","GA","31513","1422 City Circle rd","Baxley","GA","31513","Madison.acw1422@gmail.com","(912) 367-4513","80","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","5:45 PM","True","True","True","False","True","True","True","False","False","False","True","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","SE","False","","","Open"
"CCLC-49716","A Fresh Start Preparatory School","Fulton","100 North River Drive","Sandy Springs","GA","30350","100 North River Drive","Sandy Springs","GA","30350","afreshstartfcc@gmail.com","(678) 894-5592","27","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:30 AM","5:30 PM","True","True","True","False","True","True","True","False","False","False","False","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","NW","False","","","Open"
"CCLC-62753","A Fun Time-Out at Lilburn","Gwinnett","335 Arcado Road NW","Lilburn","GA","30047","335 Arcado Road NW","Lilburn","GA","30047","lilburn@afuntimeout.com","(678) 205-6768","102","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","8:30 PM","True","True","True","True","True","True","True","False","False","False","True","False","True","","Child Care Learning Center","CCLC","","1","40","True","True","2","NE","False","","","Open"
"CCLC-52472","A Kid's Place Emerson","Bartow","19 Sixth St","Emerson","GA","30137","19 Sixth St","Emerson","GA","30137","akidsplace2019@gmail.com","(770) 334-8761","71","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:00 PM","True","True","True","False","True","True","True","False","True","False","False","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","NW","False","","","Open"
"CCLC-1751","A Kid's World","Walton","4533 Old Hwy 138","Loganville","GA","30052","4533 Old Hwy 138","Loganville","GA","30052","ShannonSmith@akwchildcare.com","(770) 786-1587","206","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:00 PM","True","True","True","True","True","True","True","False","True","False","True","False","True","","Child Care Learning Center","CCLC","","0","40","True","True","3","CE","False","","","Open"
"CCLC-24379","A Kid's World - Covington","Newton","25 Kirkland Road","Covington","GA","30016","25 Kirkland Road","Covington","GA","30016","ShannonSmith@akwchildcare.com","(678) 342-7180","201","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:30 PM","True","True","True","True","True","True","True","False","False","True","True","False","True","","Child Care Learning Center","CCLC","","4","40","True","True","2","CE","False","","","Open"
"CCLC-14442","A Kid's World of Peace Center, LLC","Putnam","108 Oconee Street","Eatonton","GA","31024","95 Serena Court","Covington","GA","30018","akwop@bellsouth.net","(706) 485-7590","97","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","6:00 PM","True","True","True","False","True","True","True","False","True","True","False","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","2","CE","False","","","Open"
"CCLC-66351","A Kid's World-Jackson","Butts","315 Covington St.","Jackson","GA","30233","315 Covington St.","Jackson","GA","30233","shannonsmith@akwchildcare.com","(770) 775-4641","164","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:00 PM","True","True","True","False","True","True","True","False","False","False","False","False","False","","Child Care Learning Center","CCLC","","N/A","","True","False","","CE","False","","","Open"
"CCLC-55058","A Kidz Space Learning Center","Clayton","684 GA Ave","Forest Park","GA","30297","684 GA Ave","Forest Park","GA","30297","Akidzfinance@gmail.com","(404) 856-0058","49","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA","6:00 AM","12:00 AM","True","True","True","True","True","True","True","False","True","False","False","False","True","","Child Care Learning Center","CCLC","","6","20","True","True","3","CW","False","","","Open"
"CCLC-35819","A Mark for Success Early Learning Center","Fulton","1940 Brownsmill Road SW","Atlanta","GA","30315","1940 Brownsmill Road SE","Atlanta","GA","30315","amark4success71@yahoo.com","(404) 343-6265","46","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","12:00 AM","True","True","True","False","True","True","True","True","False","True","True","True","True","","Child Care Learning Center","CCLC","","N/A","","True","True","2","NW","False","","","Open"
