facility_id,locality,name,facility_type,license_type,capacity,ages,business_hours,administrator,subsidy,license_id
8253,Alexandria,Teddy Bear Day Care and Preschool - Hamlets,Child Day Center,Two Year,53,1 year 4 months - 7 years 11 months,"7 a.m. - 6 p.m., Monday - Friday",Mr. David W. Webb,Yes,11126
8256,Fairfax County,Saint Gabriel Preschool/Daycare,Child Day Center,Two Year,90,2 years - 10 years 11 months,"07:30 AM - 05:30 PM, Monday - Friday",Maria Gonzalez,No,11339
8262,Fairfax County,"Spring ""N"" Dale Private School",Child Day Center,Two Year,55,2 years - 8 years 11 months,"6:30 A.M. - 6:30 P.M., Monday - Friday",Mr. Jack Merritt,Yes,11436
8263,Fairfax County,Springfield Academy,Child Day Center,Two Year,135,1 month - 12 years 11 months,"6:30 A.M. - 6:30 P.M., Monday - Friday",Mr. Jack Merritt,Yes,11452
8273,Fairfax County,Northern Virginia Academy of Early Learning - Lincolnia Campus,Child Day Center,Two Year,90,2 years - 8 years 11 months,"7:00 am - 6:00 pm, Monday - Friday",Ms. Shareese Ladd,Yes,12131
8276,Fairfax County,ACCA Child Development Center,Child Day Center,Two Year,290,Birth - 12 years 11 months,"7:30 am - 6 pm, Monday - Friday",Dr. Maria Isabel Ballivian,Yes,12165
8277,Fairfax County,"Reston Children's Center, Inc",Child Day Center,Two Year,190,1 month - 12 years 11 months,"7:00 AM - 6:30 PM, Monday - Friday",Mr. Brian Raubacher,Yes,12173
8289,Fairfax County,Montessori School of Cedar Lane,Child Day Center,Two Year,104,2 years 6 months - 6 years 11 months,"7:30a.m. - 6:00p.m., Monday - Friday",Mr. Scott Smith,No,12548
8292,Fairfax County,Higher Horizons Day Care Center,Child Day Center,Two Year,212,6 months - 5 years 11 months,"7:30 am - 4:30 pm, Monday - Friday",Ms. Latisha Howze,Yes,12629
8293,Fairfax County,KinderCare Learning Center #000875,Child Day Center,Two Year,112,1 month - 12 years 11 months,"6:30 AM - 6:30 PM, Monday - Friday",Ms. Tondelia Smalls,Yes,12653
8297,Fairfax County,"Congressional Schools , Inc",Child Day Center,Two Year,550,1 month - 12 years 11 months,"7:00AM - 6:00PM, Monday - Friday",Dr. Edwin Gordon,No,12769
8301,Fairfax County,KinderCare Learning Centers #631,Child Day Center,Two Year,109,1 month - 12 years 11 months,"6:30 AM - 6:30 PM, Monday - Friday",Danielle Gaskins,Yes,12866
8318,Fairfax County,St. Mark's Montessori School,Child Day Center,Two Year,100,3 years - 6 years 11 months,"7:30 AM - 6:00 PM, Monday - Friday",Claudia Wright,No,13251
8329,Fairfax County,Kiddie Country Day Care,Child Day Center,Two Year,240,2 years - 12 years 11 months,"7:00 A.M. - 6:00 P.M., Monday - Friday",Ms. Christina Bakonyi,No,13609
8337,Fairfax County,KinderCare Learning Centers #344,Child Day Center,Two Year,102,1 month - 12 years 11 months,"6:30 AM - 6:30 PM, Monday - Friday",Sam Jiridly,Yes,14036
8343,Richmond City,Tabernacle Baptist Church,Religious Exempt Child Day Center,Exempt,80,3 months - 5 years 11 months VDSS Contact: Heather Dapper: (804) 625-2304,"7:30 a.m - 5:30 p.m., Monday - Friday",Ms. Sabrina Jones,No,15491
8348,James City,Williamsburg Montessori School,Child Day Center,Two Year,110,1 year 6 months - 12 years 11 months,"7:30 - 5:30, Monday - Friday",Ms. Sandra Andrews,No,16161
8383,Portsmouth,KinderCare Education-Churchland,Child Day Center,Two Year,140,1 month - 12 years 11 months,"6:00am - 6:30 pm, Monday - Friday",Ms. Tammy Williams,Yes,17710
8391,Norfolk,Parkdale Private School,Child Day Center,Two Year,175,1 month - 12 years 11 months,"7:15 - 5:30 pm, Monday - Friday",Christina Spivey,Yes,18121
8404,Norfolk,Children's Harbor - Ghent,Child Day Center,Two Year,238,1 month - 10 years 11 months,"6:00 a.m. - 6:00 p.m., Monday - Friday",Alezundria Beauchamp,Yes,18392
8423,Hampton,Faith Outreach Church,Religious Exempt Child Day Center,Exempt,150,2 years - 12 years 11 months VDSS Contact: Anita Drewry: (757) 404-5261,"6:15 a.m. - 6:00 p.m., Monday - Friday",Ms. Crystal Parker,No,18732
8424,Hampton,Gloria Dei Lutheran School,Child Day Center,Two Year,380,1 year 4 months - 12 years 11 months,"6:00am - 6:00 pm, Monday - Friday",Mrs. Lisa Dadez,No,18741
8425,Chesapeake,Kids Kollege Learning and Child Care Center,Child Day Center,Two Year,119,1 year 4 months - 12 years 11 months,"6:30 a.m. - 6:00 p.m., Monday - Friday",Mrs. Jane Ashley,No,18783
8431,Lynchburg,Mary Bethune Academy,Child Day Center,Two Year,92,1 month - 5 years 11 months,"6:30 am - 5:30 pm, Monday - Friday",Mary York,Yes,18872
8439,Norfolk,Colonial Day School Incorporated,Child Day Center,Two Year,158,2 years - 12 years 11 months,"6:00 AM - 6:00 PM, Monday - Friday",Mrs. Anna Clowser,Yes,19020
8453,Norfolk,Leaping and Learning Child Development Center,Child Day Center,Two Year,65,2 years - 12 years 11 months,"6:30 a.m. - 6:00 p.m., Monday - Friday",Ms. Selina S. Vaughan,Yes,19542
8461,Chesapeake,Great Bridge Children's Center,Child Day Center,Two Year,91,1 month - 12 years 11 months,"6:00 a.m. - 6:00 p.m., Monday - Friday",Michelle Braxton,No,19798
8466,Portsmouth,JumpStart Child Development Center II,Child Day Center,Two Year,84,2 years - 12 years 11 months,"6:00am - 5:00 pm, Monday - Friday",Ms. Richelle Scott,Yes,20192
8483,Virginia Beach,PLAYHOUSE DAY CARE CENTER AND KINDERGARTEN,Child Day Center,Two Year,75,2 years - 12 years,"7:00 a.m. - 6:00 p.m., Monday - Friday",Mrs. Elsie Glenn,Yes,20591
8490,Chesapeake,Children's Harbor - Chesapeake,Child Day Center,Two Year,150,1 year 4 months - 12 years 11 months,"6:15 a.m. - 5:30 p.m., Monday - Friday",Teresa Ketter,Yes,20753
8492,Newport News,Denbigh Christian Academy,Child Day Center,Two Year,200,2 years - 12 years 11 months,"6:00 am - 6:00 pm, Monday - Friday",Mrs. Linda Amiss,Yes,20788
8504,Isle of Wight,Main Street Baptist Church,Child Day Center,Two Year,38,2 years - 12 years 11 months,"5:30 a.m. - 5:30 p.m., Monday - Friday",Tawana Ford,Yes,21008
8516,Newport News,"The Garden of Children, LTD.",Child Day Center,Two Year,164,1 month - 12 years 11 months,"5 a.m. - 6 p.m., Monday - Friday",Ms. Deborah Glover,Yes,21296
8518,Hampton,KinderCare Learning Centers-385,Child Day Center,Two Year,99,1 month - 12 years 11 months,"6:30 a.m. - 6:00 p.m., Monday - Friday",Mrs. Lafaye' Briggs,Yes,21318
8523,Portsmouth,Thomas B. Hargrave Educational Center,Child Day Center,Two Year,75,2 years - 12 years 11 months,"6:00am - 6:00pm, Monday - Friday",Alicia Thurmond,Yes,21423
8531,Arlington,Westover Baptist Church,Religious Exempt Child Day Center,Exempt,85,1 year 1 month - 6 years 11 months VDSS Contact: Jessica Willis: (571) 352-1453,"9:15am - 2:15pm, Monday - Friday",Ms. Amy Kaetzel,No,22063
8533,Alexandria,"Church Schools in the Diocese of Virginia, Inc.",Religious Exempt Child Day Center,Exempt,148,2 months - 6 years 11 months VDSS Contact: Leslie Perez: (703) 537-6013,"7:00am - 6:00pm, Monday - Friday",Elizabeth Callahan,No,22292
8568,Roanoke County,Evangel Child Care Ministries,Child Day Center,Two Year,75,2 years - 12 years 11 months,"7:00 AM - 5:30 PM, Monday - Friday",Ms. Elizabeth Dowdy,Yes,24830
8572,Pittsylvania,Pittsylvania County Community Action- Joseph L. Galloway,Child Day Center,Two Year,60,2 years 11 months - 5 years 11 months,"9:00 am - 3:00 pm, Monday - Friday",Angela Barnes,No,25003
8590,Washington,People Incorporated of Virginia - Benhams,Child Day Center,Two Year,54,3 years - 5 years 11 months,"7:00 am - 3:30 pm, Monday - Friday",Angie Taylor,No,25500
8604,Roanoke County,Community School,Child Day Center,Two Year,50,2 years 6 months - 12 years 11 months,"7:00 AM - 6:00 PM, Monday - Friday",Mr. Patrick Critzer,No,25836
8615,Martinsville,First Baptist Church of Martinsville,Religious Exempt Child Day Center,Exempt,190,1 month - 12 years 11 months VDSS Contact: Rebecca Forestier: (540) 309-2835,"6:30 AM - 5:30 PM, Monday - Friday",Elizabeth Kotchish,Yes,26085
8639,Roanoke City,Total Action Against Poverty in Roanoke Valley @ Indian Village,Child Day Center,Two Year,36,2 years 10 months - 5 years 11 months,"8:00 AM - 4:00 PM, Monday - Friday",Mrs. Crystal Fernatt,No,26565
8652,Salem,Total Action Against Poverty in the Roanoke Valley @ Salem,Child Day Center,Two Year,36,2 years 10 months - 5 years 11 months,"8:00 AM - 4:00 PM, Monday - Friday",Mrs. Crystal Fernatt,No,26867
8653,Hanover,"Toddler Town, Inc.",Child Day Center,Two Year,163,1 month - 12 years 11 months,"6:30 a.m. - 6:00 p.m., Monday - Friday",Ms. Bonnie Conway,Yes,27171
8654,Alexandria,The Campagna Center - James K. Polk,Child Day Center,Two Year,120,3 years 6 months - 12 years 11 months,"7:00 - 6:30 PM, Monday - Friday",Mr. Randy Gore,Yes,27600
8664,Fairfax County,KinderCare Learning Centers #765,Child Day Center,Two Year,87,1 month - 12 years 11 months,"6:30 am - 6:30 pm, Monday - Friday",Ms. Michelle Mendez-Guatvita,Yes,28827
8671,Loudoun,KinderCare Learning Centers at Sterling Park,Child Day Center,Two Year,128,1 month - 12 years 11 months,"6:30am - 6:30pm, Monday - Friday",Robert Miller,Yes,29807
8679,Fairfax County,A Child's Place at Hollin Hall,Child Day Center,Two Year,166,2 years - 12 years 11 months,"7:00 am - 6:00 pm, Monday - Friday",Ms. Jill Levy,No,30911
8685,Botetourt,Mill Creek Child Care Center,Child Day Center,Two Year,120,2 years - 12 years 11 months,"7:00 AM - 5:30 PM, Monday - Friday",Mrs. Cherry Ramsey,Yes,31445
8697,Fairfax County,Calvary Road Baptist Church,Religious Exempt Child Day Center,Exempt,94,3 years - 5 years 11 months VDSS Contact: Laura Lunceford: (571) 835-5058,"6:45 am - 6:00 pm, Monday - Friday",Kevin Lewis,No,39756
8703,Virginia Beach,La Petite Academy #7140,Child Day Center,Two Year,125,1 month - 12 years 11 months,"6:30 am - 6:00 pm, Monday - Friday",Mr. Trae Moore,Yes,44458
8707,Amherst,Temple Baptist Church,Religious Exempt Child Day Center,Exempt,78,3 years - 12 years 11 months VDSS Contact: Krysten Hunt: (804) 335-6724,"6:15 am - 6:00 pm, Monday - Friday",Ms. Geanna Evans,No,46345
8712,Alexandria,Abracadabra Child Development Center,Child Day Center,Two Year,86,1 year 8 months - 8 years 11 months,"7:30am - 6:00pm, Monday - Friday",Ms. Courtney Robinson,No,48852
8713,Fairfax County,"McLean Children's Academy, Inc.",Child Day Center,Two Year,30,2 years - 12 years 11 months,"7:30am - 6:00pm, Monday - Friday",Ms. Barbara Touchton,No,48861
8714,Spotsylvania,Hazelwild Country Day School,Child Day Center,Two Year,200,2 years - 12 years 11 months,"7:00 a.m. - 6:00 p.m., Monday - Friday",Ms. Mackenzie Raines-Ware,No,49263
8724,Fairfax County,Westgate Child Center,Child Day Center,Two Year,103,2 years 6 months - 12 years 11 months,"7:00am - 6:30pm, Monday - Friday",Ms. Vallerie L Tribble,No,63631
8726,Alexandria,The Campagna Center - Mt. Vernon,Child Day Center,Two Year,105,3 years 6 months - 12 years 11 months,"7:00 - 6:30 p.m., Monday - Friday",Mr. Randy Gore,Yes,63738
8729,Fairfax County,Vienna Baptist Church,Religious Exempt Child Day Center,Exempt,100,10 months - 5 years 11 months VDSS Contact: Pernille Brandt: (703) 203-8659,"9:30 a.m. - 1:30 p.m., Monday - Friday",Ms. Melissa Jones,No,71170
8786,Fairfax County,KinderCare Learning Center #000565,Child Day Center,Two Year,128,1 month - 12 years 11 months,"6:30 am - 6:30 pm, Monday - Friday",Ms. Wendy Wortman,Yes,113232
8787,Fairfax County,KinderCare Learning Centers #000049,Child Day Center,Two Year,136,1 month - 12 years 11 months,"6:30 am - 6:30 pm, Monday - Friday",Ms. Yvette Hernandez,Yes,113241
8788,Prince William,Lakeridge KinderCare Center #000417,Child Day Center,Two Year,136,1 month - 12 years 11 months,"6:00 a.m. - 6:30 p.m., Monday - Friday",Kaitlin Nobiling,Yes,113259
8789,Fairfax County,KinderCare Learning Centers #000002,Child Day Center,Two Year,90,1 month - 12 years 11 months,"6:30 am - 6:30 pm, Monday - Friday",Ms. Aliyah Stone,Yes,113267
8802,Fairfax County,Northern Virginia Academy of Early Learning - Burke Campus,Child Day Center,Two Year,188,1 month - 12 years 11 months,"7:00am - 6:00pm, Monday - Friday",Shareese Ladd,Yes,124668
8810,Virginia Beach,KinderCare at Mt. Trashmore,Child Day Center,Two Year,145,2 months - 12 years 11 months,"5:30 a.m. - 6:30 p.m., Monday - Friday",Ms. Lequille Madison-Green,Yes,127454
8814,Henrico,KinderCare Education LLC - Pump Road,Child Day Center,Two Year,140,1 month - 12 years 11 months,"6:30am - 6:30pm, Monday - Friday",Erica Brown,Yes,129945
8815,Fairfax County,Browne Academy,Child Day Center,Two Year,260,3 years - 12 years 11 months,"7:00 am - 6:00 pm, Monday - Friday",Kimberly Mccue,No,130544
8820,Fairfax County,St. John's Lutheran Early Childhood Education Center,Child Day Center,Two Year,50,2 years - 12 years 11 months,"7:00 AM - 6:00 PM, Monday - Friday",Ms. Amanda Parks,Yes,131583
8821,Alexandria,Creative Play School II,Child Day Center,Two Year,130,1 year 4 months - 12 years 11 months,"7:00 AM - 6:00PM, Monday - Friday",Ms. Kris Solberg,Yes,131907
8822,Chesapeake,La Petite Academy #7137,Child Day Center,Two Year,125,1 month - 12 years 11 months,"6:30am - 6:00pm, Monday - Friday",Ms. Victoria Swinney,Yes,132270
8825,Chesapeake,Great Bridge Child Care Ltd.,Child Day Center,Two Year,124,1 year 4 months - 12 years 11 months,"6:30am - 6:00pm, Monday - Friday",Jordan M Beasley,Yes,135350
8827,Roanoke City,Total Action Against Poverty in the Roanoke Valley at Marmion,Child Day Center,Two Year,36,2 years 10 months - 5 years 11 months,"8:00 AM - 4:00 PM, Monday - Friday",Mrs Crystal Fernatt,No,136267
8833,Arlington,Little Beginnings Child Development Center,Child Day Center,Provisional,75,3 months - 5 years 11 months,"7:30am - 6:00pm, Monday - Friday",Dawn W Erausquin,Yes,138197
8835,Hampton,"La Petite Academy, Inc- #7138",Child Day Center,Two Year,100,1 month - 12 years 11 months,"6:30am - 6:00 pm, Monday - Friday",Ms. Tiarra Givens,Yes,138545
8838,Henrico,KinderCare Learning Centers - Skipwith,Child Day Center,Two Year,145,Birth - 12 years 11 months,"6:30am to 6:30pm (Monday - Friday) - 6:30pm to 9:30 pm (1x per month), Monday - Friday",Ashley Wright,Yes,140264
8843,Hanover,Hanover Academy,Child Day Center,Provisional,110,2 years - 12 years 11 months,"7:00am - 5:45pm, Monday - Friday",Ms. Sarah Haley,Yes,142178
8852,Fairfax County,KinderCare Learning Centers at Burke Lake Road #805,Child Day Center,Two Year,145,1 month - 12 years 11 months,"6:30 AM - 6:30 PM, Monday - Friday",Ms. Tina Nesbitt,Yes,146734
8860,Charlottesville,Montessori School of Charlottesville,Child Day Center,Two Year,57,1 year 9 months - 6 years 11 months,"8:30 a.m. - 3:00 p.m., Monday - Friday",Mr. Soren Jones,Yes,147480
8864,Danville,"The Young Men's Christian Association of Danville, Virginia",Child Day Center,Two Year,100,4 years - 12 years 11 months,"7:30 a.m. - 5:30 p.m., Monday - Friday",Tevris Fitzgerald,Yes,147943
8865,Arlington,Mount Olivet United Methodist Church,Religious Exempt Child Day Center,Exempt,110,1 year 6 months - 6 years 11 months VDSS Contact: Sarah Zirzow: (703) 479-4675,"9:15 am - 3:30pm, Monday - Friday",Ms. Alexis A Joyce,No,148761
8866,Henrico,The Richmond Montessori School,Child Day Center,Two Year,132,1 year 4 months - 12 years 11 months,"8:30 AM - 6:00 PM, Monday - Friday",Kim Sutton,No,148877
8878,Norfolk,Charlena Thompson,Family Day Home,Two Year,9,1 month - 12 years 11 months,"6:00 am - 12:00 am, Monday - Friday",,Yes,155521
8884,Norfolk,"Alpha Beta Cappa Day School, Inc",Child Day Center,Two Year,137,2 years - 12 years 11 months,"6:30 AM - 6:00 PM, Monday - Friday",Mr. Ron Rippetoe,Yes,158350
8886,Virginia Beach,La Petite Academy #7143,Child Day Center,Two Year,125,1 month - 12 years 11 months,"6:00am - 6:00pm, Monday - Friday",Mrs. Erika Chavis,Yes,158678
8890,Waynesboro,Waynesboro YMCA Childcare,Child Day Center,Two Year,90,3 years - 12 years 11 months,"7:00 a.m. - 6:00 p.m., Monday - Friday",Ms. Rebecca Patton,Yes,159321
8906,Henrico,La Petite Academy - Glen Allen,Child Day Center,Two Year,121,1 month - 12 years 11 months,"7:00 AM - 6:00 PM, Monday - Friday",Ms. Pamela Mayfield-Smith,No,164431
8921,Fairfax County,Messiah United Methodist Church,Religious Exempt Child Day Center,Exempt,60,1 year 8 months - 5 years 11 months VDSS Contact: Margaret Allworth: (703) 209-3521,"9:00 am - 4:30 pm, Monday - Friday",Ms. Katie Polk,Yes,171674
8923,Chesapeake,Happyland Day Care Center,Child Day Center,Two Year,75,2 years 6 months - 12 years,"6:00am - 6:00pm, Monday - Friday",Ms. Helen Peterson,Yes,172506
8926,Portsmouth,Portsmouth Catholic Regional School,Child Day Center,Two Year,171,3 years - 12 years,"6:00 a.m. - 6:00 p.m., Monday - Friday",Donna Henry,No,172662
8931,Fauquier,Piedmont Child Care Center,Child Day Center,Two Year,87,1 month - 12 years 11 months,"7:00 a.m. - 6:00 p.m., Monday - Friday",Ms. Diana Lichliter,No,175670
8933,Portsmouth,Western Branch KinderCare,Child Day Center,Two Year,102,1 month - 12 years 11 months,"6:00 a.m. - 6:30 p.m., Monday - Friday",Ms. Joverna Chambers,Yes,176382
8938,Fairfax County,Montessori School of Herndon,Child Day Center,Two Year,150,1 year - 12 years 11 months,"6:30 am - 6:30 pm, Monday - Friday",Ms. Shabana Syed,No,178911
8954,Fairfax County,KinderCare Learning Centers #300800,Child Day Center,Two Year,105,1 month - 12 years 11 months,"6:30 am - 6:30 pm, Monday - Friday",Ms. Christine Ashman,Yes,184750
8957,Lee,Lee County Public Schools - Dryden II,Child Day Center,Two Year,22,3 years - 5 years 11 months,"7:30am - 3:30pm, Monday - Friday",Mr. David Graham,No,185373
8958,Fairfax County,Burgundy Farm Country Day School,Child Day Center,Two Year,300,3 years 9 months - 12 years 11 months,"7:00 am - 6:00 pm, Monday - Friday",Ms. Kathy Miller,No,185420
