ncessch,state,county_fips,county_name
130012000025,GA,13121,Fulton County
130012000027,GA,13121,Fulton County
130012000029,GA,13121,Fulton County
130012000034,GA,13121,Fulton County
130012000036,GA,13121,Fulton County
130012000038,GA,13121,Fulton County
130012000039,GA,13121,Fulton County
130012000043,GA,13121,Fulton County
130012000045,GA,13121,Fulton County
130012000052,GA,13089,DeKalb County
130012000054,GA,13121,Fulton County
130012000058,GA,13121,Fulton County
130012000059,GA,13121,Fulton County
130012000060,GA,13121,Fulton County
130012000063,GA,13121,Fulton County
130012000066,GA,13121,Fulton County
130012000069,GA,13121,Fulton County
130012000073,GA,13121,Fulton County
130012000077,GA,13121,Fulton County
130012000085,GA,13121,Fulton County
130012000089,GA,13121,Fulton County
130012000091,GA,13121,Fulton County
130012000092,GA,13121,Fulton County
130012000099,GA,13121,Fulton County
130012000103,GA,13121,Fulton County
130012000106,GA,13121,Fulton County
130012000107,GA,13121,Fulton County
130012000110,GA,13121,Fulton County
130012000113,GA,13121,Fulton County
130012000118,GA,13121,Fulton County
130012000120,GA,13089,DeKalb County
130012000121,GA,13121,Fulton County
130012000122,GA,13121,Fulton County
130012000124,GA,13121,Fulton County
130012000127,GA,13121,Fulton County
130012000130,GA,13121,Fulton County
130012000136,GA,13089,DeKalb County
130012000137,GA,13121,Fulton County
130012000139,GA,13121,Fulton County
130012000143,GA,13121,Fulton County
130012000150,GA,13121,Fulton County
130012001865,GA,13121,Fulton County
130012001866,GA,13121,Fulton County
130012001939,GA,13121,Fulton County
130012002212,GA,13121,Fulton County
130012002290,GA,13121,Fulton County
130012002344,GA,13121,Fulton County
130012002453,GA,13089,DeKalb County
130012002517,GA,13121,Fulton County
130012002613,GA,13121,Fulton County
130012002615,GA,13121,Fulton County
130012002798,GA,13121,Fulton County
130012003025,GA,13121,Fulton County
130012003028,GA,13121,Fulton County
130012003029,GA,13121,Fulton County
130012003030,GA,13121,Fulton County
130012003031,GA,13121,Fulton County
130012003468,GA,13121,Fulton County
130012003470,GA,13121,Fulton County
130012003471,GA,13089,DeKalb County
130012003540,GA,13121,Fulton County
130012003541,GA,13121,Fulton County
130012003542,GA,13121,Fulton County
130012003558,GA,13121,Fulton County
130012003589,GA,13121,Fulton County
130012003660,GA,13121,Fulton County
130012003823,GA,13121,Fulton County
130012003841,GA,13089,DeKalb County
130012003980,GA,13121,Fulton County
130012003992,GA,13121,Fulton County
130012004012,GA,13121,Fulton County
130012004059,GA,13121,Fulton County
130012004091,GA,13121,Fulton County
130012004124,GA,13121,Fulton County
130012004139,GA,13121,Fulton County
130012004145,GA,13121,Fulton County
130012004155,GA,13121,Fulton County
130012004161,GA,13089,DeKalb County
130012004174,GA,13121,Fulton County
130012004215,GA,13121,Fulton County
130012004223,GA,13121,Fulton County
130012004224,GA,13121,Fulton County
130012004237,GA,13121,Fulton County
130012004240,GA,13121,Fulton County
130012004244,GA,13121,Fulton County
130012004276,GA,13121,Fulton County
130012004277,GA,13121,Fulton County
130012004315,GA,13121,Fulton County
130015000151,GA,13005,Bacon County
130015000153,GA,13005,Bacon County
130015002349,GA,13005,Bacon County
130015002357,GA,13005,Bacon County
130018001867,GA,13007,Baker County
130018004266,GA,13007,Baker County
130021000158,GA,13009,Baldwin County
130021002347,GA,13009,Baldwin County
130021004289,GA,13009,Baldwin County
130021004290,GA,13009,Baldwin County
130021004292,GA,13009,Baldwin County
130021004295,GA,13009,Baldwin County
130021403723,GA,13311,White County
130021503748,GA,13135,Gwinnett County
130021703961,GA,13121,Fulton County
130021803964,GA,13037,Calhoun County
130022104021,GA,13121,Fulton County
130022204007,GA,13077,Coweta County
130022303063,GA,13115,Floyd County
130022403062,GA,13021,Bibb County
130022503061,GA,13089,DeKalb County
130022604023,GA,13089,DeKalb County
130022704031,GA,13135,Gwinnett County
130023004051,GA,13057,Cherokee County
130023104095,GA,13121,Fulton County
130023204148,GA,13063,Clayton County
130023304164,GA,13063,Clayton County
130023404179,GA,13121,Fulton County
130023504203,GA,13195,Madison County
130023604192,GA,13185,Lowndes County
130023704193,GA,13063,Clayton County
130023804205,GA,13245,Richmond County
130023904226,GA,13021,Bibb County
130024000169,GA,13011,Banks County
130024000170,GA,13011,Banks County
130024002015,GA,13011,Banks County
130024003545,GA,13011,Banks County
130024104229,GA,13113,Fayette County
130024204249,GA,13135,Gwinnett County
130024304253,GA,13243,Randolph County
130024404272,GA,13121,Fulton County
130024504293,GA,13073,Columbia County
130024604299,GA,13043,Candler County
130024704283,GA,13121,Fulton County
130024804288,GA,13121,Fulton County
130024904273,GA,13067,Cobb County
130025004325,GA,13135,Gwinnett County
130025104306,GA,13121,Fulton County
130029000134,GA,13013,Barrow County
130029000171,GA,13013,Barrow County
130029000172,GA,13013,Barrow County
130029000173,GA,13013,Barrow County
130029000174,GA,13013,Barrow County
130029000175,GA,13013,Barrow County
130029000176,GA,13013,Barrow County
130029000178,GA,13013,Barrow County
130029001913,GA,13013,Barrow County
130029002016,GA,13013,Barrow County
130029002017,GA,13013,Barrow County
130029002293,GA,13013,Barrow County
130029002350,GA,13013,Barrow County
130029003285,GA,13013,Barrow County
130029004037,GA,13013,Barrow County
130029004275,GA,13013,Barrow County
130033000179,GA,13015,Bartow County
130033000180,GA,13015,Bartow County
130033000181,GA,13015,Bartow County
130033000183,GA,13015,Bartow County
130033000185,GA,13015,Bartow County
130033000186,GA,13015,Bartow County
130033000187,GA,13015,Bartow County
130033000189,GA,13015,Bartow County
130033001078,GA,13015,Bartow County
130033001868,GA,13015,Bartow County
130033001914,GA,13015,Bartow County
130033001940,GA,13015,Bartow County
130033002060,GA,13015,Bartow County
130033002294,GA,13015,Bartow County
130033002351,GA,13015,Bartow County
130033002352,GA,13015,Bartow County
130033002464,GA,13015,Bartow County
130033003287,GA,13015,Bartow County
130033003586,GA,13015,Bartow County
130036000190,GA,13017,Ben Hill County
130036000931,GA,13017,Ben Hill County
130036002148,GA,13017,Ben Hill County
130036002149,GA,13017,Ben Hill County
130039000192,GA,13019,Berrien County
130039000195,GA,13019,Berrien County
130039000228,GA,13019,Berrien County
130039000787,GA,13019,Berrien County
130039003523,GA,13019,Berrien County
130042000198,GA,13021,Bibb County
130042000201,GA,13021,Bibb County
130042000203,GA,13021,Bibb County
130042000212,GA,13021,Bibb County
130042000218,GA,13021,Bibb County
130042000225,GA,13021,Bibb County
130042000226,GA,13021,Bibb County
130042000230,GA,13021,Bibb County
130042000241,GA,13021,Bibb County
130042000246,GA,13021,Bibb County
130042000247,GA,13021,Bibb County
130042000790,GA,13021,Bibb County
130042001416,GA,13021,Bibb County
130042001869,GA,13021,Bibb County
130042001918,GA,13021,Bibb County
130042001942,GA,13021,Bibb County
130042001943,GA,13021,Bibb County
130042001944,GA,13021,Bibb County
130042002096,GA,13021,Bibb County
130042002234,GA,13021,Bibb County
130042002472,GA,13021,Bibb County
130042002473,GA,13021,Bibb County
130042002474,GA,13021,Bibb County
130042002604,GA,13021,Bibb County
130042002610,GA,13021,Bibb County
130042002620,GA,13021,Bibb County
130042003290,GA,13021,Bibb County
130042003292,GA,13021,Bibb County
130042003621,GA,13021,Bibb County
130042003667,GA,13021,Bibb County
130042003726,GA,13021,Bibb County
130042003744,GA,13021,Bibb County
130042004038,GA,13021,Bibb County
130042004176,GA,13021,Bibb County
130042004198,GA,13021,Bibb County
130042004204,GA,13021,Bibb County
130042004245,GA,13021,Bibb County
130044000253,GA,13023,Bleckley County
130044000254,GA,13023,Bleckley County
130044000256,GA,13023,Bleckley County
130044001920,GA,13023,Bleckley County
130044004162,GA,13023,Bleckley County
130048000232,GA,13025,Brantley County
130048000234,GA,13025,Brantley County
130048000257,GA,13025,Brantley County
130048000258,GA,13025,Brantley County
130048001946,GA,13025,Brantley County
130048002295,GA,13025,Brantley County
130048003907,GA,13025,Brantley County
130051000260,GA,13143,Haralson County
130051002455,GA,13143,Haralson County
130051003757,GA,13143,Haralson County
130051003762,GA,13143,Haralson County
130054000141,GA,13027,Brooks County
130054000207,GA,13027,Brooks County
130054000263,GA,13027,Brooks County
130054001417,GA,13027,Brooks County
130054004264,GA,13027,Brooks County
130054004267,GA,13027,Brooks County
130057000086,GA,13029,Bryan County
130057001872,GA,13029,Bryan County
130057001873,GA,13029,Bryan County
130057001948,GA,13029,Bryan County
130057002235,GA,13029,Bryan County
130057002368,GA,13029,Bryan County
130057002389,GA,13029,Bryan County
130057002395,GA,13029,Bryan County
130057002396,GA,13029,Bryan County
130057004189,GA,13029,Bryan County
130060000274,GA,13135,Gwinnett County
130060000275,GA,13135,Gwinnett County
130060000276,GA,13135,Gwinnett County
130060002345,GA,13135,Gwinnett County
130063000277,GA,13031,Bulloch County
130063000281,GA,13031,Bulloch County
130063000283,GA,13031,Bulloch County
130063000285,GA,13031,Bulloch County
130063000287,GA,13031,Bulloch County
130063000288,GA,13031,Bulloch County
130063000290,GA,13031,Bulloch County
130063002236,GA,13031,Bulloch County
130063002237,GA,13031,Bulloch County
130063002238,GA,13031,Bulloch County
130063002296,GA,13031,Bulloch County
130063002297,GA,13031,Bulloch County
130063002298,GA,13031,Bulloch County
130063003549,GA,13031,Bulloch County
130063003550,GA,13031,Bulloch County
130066000293,GA,13033,Burke County
130066001990,GA,13033,Burke County
130066001991,GA,13033,Burke County
130066001992,GA,13033,Burke County
130066002817,GA,13033,Burke County
130069000301,GA,13035,Butts County
130069002353,GA,13035,Butts County
130069002819,GA,13035,Butts County
130069003818,GA,13035,Butts County
130069003846,GA,13035,Butts County
130072000305,GA,13129,Gordon County
130072000306,GA,13129,Gordon County
130072000307,GA,13129,Gordon County
130072002216,GA,13129,Gordon County
130075000311,GA,13037,Calhoun County
130075004081,GA,13037,Calhoun County
130075004098,GA,13037,Calhoun County
130078000236,GA,13039,Camden County
130078000237,GA,13039,Camden County
130078000313,GA,13039,Camden County
130078000315,GA,13039,Camden County
130078000791,GA,13039,Camden County
130078000794,GA,13039,Camden County
130078001875,GA,13039,Camden County
130078001941,GA,13039,Camden County
130078001969,GA,13039,Camden County
130078002063,GA,13039,Camden County
130078002355,GA,13039,Camden County
130078003299,GA,13039,Camden County
130081000316,GA,13043,Candler County
130081000317,GA,13043,Candler County
130081000318,GA,13043,Candler County
130084000319,GA,13045,Carroll County
130084000320,GA,13045,Carroll County
130084000321,GA,13045,Carroll County
130084000324,GA,13045,Carroll County
130084000325,GA,13045,Carroll County
130084000326,GA,13045,Carroll County
130084000328,GA,13045,Carroll County
130084000330,GA,13045,Carroll County
130084000331,GA,13045,Carroll County
130084000332,GA,13045,Carroll County
130084000333,GA,13045,Carroll County
130084002097,GA,13045,Carroll County
130084002239,GA,13045,Carroll County
130084002240,GA,13045,Carroll County
130084002299,GA,13045,Carroll County
130084002356,GA,13045,Carroll County
130084002452,GA,13045,Carroll County
130084003301,GA,13045,Carroll County
130084003302,GA,13045,Carroll County
130084003303,GA,13045,Carroll County
130084003483,GA,13045,Carroll County
130084003562,GA,13045,Carroll County
130084003582,GA,13045,Carroll County
130084003982,GA,13045,Carroll County
130084004101,GA,13045,Carroll County
130087000088,GA,13045,Carroll County
130087000334,GA,13045,Carroll County
130087000336,GA,13045,Carroll County
130087003474,GA,13045,Carroll County
130090000341,GA,13015,Bartow County
130090000342,GA,13015,Bartow County
130090000343,GA,13015,Bartow County
130090002098,GA,13015,Bartow County
130093000346,GA,13047,Catoosa County
130093000347,GA,13047,Catoosa County
130093000348,GA,13047,Catoosa County
130093000349,GA,13047,Catoosa County
130093000350,GA,13047,Catoosa County
130093000351,GA,13047,Catoosa County
130093000352,GA,13047,Catoosa County
130093000353,GA,13047,Catoosa County
130093000355,GA,13047,Catoosa County
130093000845,GA,13047,Catoosa County
130093001934,GA,13047,Catoosa County
130093002300,GA,13047,Catoosa County
130093002496,GA,13047,Catoosa County
130093003304,GA,13047,Catoosa County
130093003305,GA,13047,Catoosa County
130093003688,GA,13047,Catoosa County
130099000358,GA,13049,Charlton County
130099000359,GA,13049,Charlton County
130099002241,GA,13049,Charlton County
130099004016,GA,13049,Charlton County
130102000238,GA,13051,Chatham County
130102000362,GA,13051,Chatham County
130102000363,GA,13051,Chatham County
130102000364,GA,13051,Chatham County
130102000365,GA,13051,Chatham County
130102000366,GA,13051,Chatham County
130102000370,GA,13051,Chatham County
130102000373,GA,13051,Chatham County
130102000374,GA,13051,Chatham County
130102000375,GA,13051,Chatham County
130102000376,GA,13051,Chatham County
130102000377,GA,13051,Chatham County
130102000381,GA,13051,Chatham County
130102000382,GA,13051,Chatham County
130102000385,GA,13051,Chatham County
130102000386,GA,13051,Chatham County
130102000387,GA,13051,Chatham County
130102000388,GA,13051,Chatham County
130102000389,GA,13051,Chatham County
130102000392,GA,13051,Chatham County
130102000393,GA,13051,Chatham County
130102000394,GA,13051,Chatham County
130102000396,GA,13051,Chatham County
130102000400,GA,13051,Chatham County
130102000401,GA,13051,Chatham County
130102000402,GA,13051,Chatham County
130102000403,GA,13051,Chatham County
130102000409,GA,13051,Chatham County
130102000411,GA,13051,Chatham County
130102000413,GA,13051,Chatham County
130102000415,GA,13051,Chatham County
130102001419,GA,13051,Chatham County
130102002019,GA,13051,Chatham County
130102002054,GA,13051,Chatham County
130102002099,GA,13051,Chatham County
130102002152,GA,13051,Chatham County
130102002242,GA,13051,Chatham County
130102002243,GA,13051,Chatham County
130102002245,GA,13051,Chatham County
130102002301,GA,13051,Chatham County
130102002302,GA,13051,Chatham County
130102002303,GA,13051,Chatham County
130102003610,GA,13051,Chatham County
130102003772,GA,13051,Chatham County
130102003941,GA,13051,Chatham County
130102003972,GA,13051,Chatham County
130102003975,GA,13051,Chatham County
130102003978,GA,13051,Chatham County
130102004044,GA,13051,Chatham County
130102004088,GA,13051,Chatham County
130102004117,GA,13051,Chatham County
130102004135,GA,13051,Chatham County
130102004185,GA,13051,Chatham County
130102004196,GA,13051,Chatham County
130102004291,GA,13051,Chatham County
130102004294,GA,13051,Chatham County
130102004298,GA,13051,Chatham County
130105000416,GA,13053,Chattahoochee County
130105002358,GA,13053,Chattahoochee County
130105003525,GA,13053,Chattahoochee County
130108000417,GA,13055,Chattooga County
130108000418,GA,13055,Chattooga County
130108000421,GA,13055,Chattooga County
130108000422,GA,13055,Chattooga County
130108003307,GA,13055,Chattooga County
130108003571,GA,13055,Chattooga County
130111000114,GA,13057,Cherokee County
130111000425,GA,13057,Cherokee County
130111000428,GA,13057,Cherokee County
130111000429,GA,13057,Cherokee County
130111000431,GA,13057,Cherokee County
130111000432,GA,13057,Cherokee County
130111000434,GA,13057,Cherokee County
130111000435,GA,13057,Cherokee County
130111000437,GA,13057,Cherokee County
130111000438,GA,13057,Cherokee County
130111001105,GA,13057,Cherokee County
130111001428,GA,13057,Cherokee County
130111001438,GA,13057,Cherokee County
130111001443,GA,13057,Cherokee County
130111001860,GA,13057,Cherokee County
130111001878,GA,13057,Cherokee County
130111001970,GA,13057,Cherokee County
130111001971,GA,13057,Cherokee County
130111002020,GA,13057,Cherokee County
130111002055,GA,13057,Cherokee County
130111002066,GA,13057,Cherokee County
130111002100,GA,13057,Cherokee County
130111002359,GA,13057,Cherokee County
130111002360,GA,13057,Cherokee County
130111002521,GA,13057,Cherokee County
130111003308,GA,13057,Cherokee County
130111003309,GA,13057,Cherokee County
130111003310,GA,13057,Cherokee County
130111003312,GA,13057,Cherokee County
130111003526,GA,13057,Cherokee County
130111003769,GA,13057,Cherokee County
130111003780,GA,13057,Cherokee County
130111003821,GA,13057,Cherokee County
130111003909,GA,13057,Cherokee County
130111004019,GA,13057,Cherokee County
130111004033,GA,13057,Cherokee County
130111004072,GA,13057,Cherokee County
130114000441,GA,13295,Walker County
130114002456,GA,13295,Walker County
130114002457,GA,13295,Walker County
130117000443,GA,13059,Clarke County
130117000444,GA,13059,Clarke County
130117000445,GA,13059,Clarke County
130117000446,GA,13059,Clarke County
130117000447,GA,13059,Clarke County
130117000449,GA,13059,Clarke County
130117000450,GA,13059,Clarke County
130117000451,GA,13059,Clarke County
130117000452,GA,13059,Clarke County
130117000453,GA,13059,Clarke County
130117000454,GA,13059,Clarke County
130117000455,GA,13059,Clarke County
130117000456,GA,13059,Clarke County
130117000457,GA,13059,Clarke County
130117000458,GA,13059,Clarke County
130117001106,GA,13059,Clarke County
130117002102,GA,13059,Clarke County
130117002103,GA,13059,Clarke County
130117002104,GA,13059,Clarke County
130117002831,GA,13059,Clarke County
130117003905,GA,13059,Clarke County
130120002833,GA,13061,Clay County
130120002834,GA,13061,Clay County
130123000461,GA,13063,Clayton County
130123000462,GA,13063,Clayton County
130123000463,GA,13063,Clayton County
130123000464,GA,13063,Clayton County
130123000465,GA,13063,Clayton County
130123000466,GA,13063,Clayton County
130123000467,GA,13063,Clayton County
130123000469,GA,13063,Clayton County
130123000470,GA,13063,Clayton County
130123000471,GA,13063,Clayton County
130123000472,GA,13063,Clayton County
130123000473,GA,13063,Clayton County
130123000474,GA,13063,Clayton County
130123000475,GA,13063,Clayton County
130123000476,GA,13063,Clayton County
130123000477,GA,13063,Clayton County
130123000478,GA,13063,Clayton County
130123000479,GA,13063,Clayton County
130123000480,GA,13063,Clayton County
130123000481,GA,13063,Clayton County
130123000483,GA,13063,Clayton County
130123000484,GA,13063,Clayton County
130123000485,GA,13063,Clayton County
130123000486,GA,13063,Clayton County
130123000487,GA,13063,Clayton County
130123000488,GA,13063,Clayton County
130123000490,GA,13063,Clayton County
130123000491,GA,13063,Clayton County
130123000492,GA,13063,Clayton County
130123000494,GA,13063,Clayton County
130123000495,GA,13063,Clayton County
130123000496,GA,13063,Clayton County
130123000497,GA,13063,Clayton County
130123000498,GA,13063,Clayton County
130123000499,GA,13063,Clayton County
130123000500,GA,13063,Clayton County
130123000811,GA,13063,Clayton County
130123000812,GA,13063,Clayton County
130123001861,GA,13063,Clayton County
130123001925,GA,13063,Clayton County
130123002057,GA,13063,Clayton County
130123002067,GA,13063,Clayton County
130123002068,GA,13063,Clayton County
130123002105,GA,13063,Clayton County
130123002246,GA,13063,Clayton County
130123002304,GA,13063,Clayton County
130123002305,GA,13063,Clayton County
130123002470,GA,13063,Clayton County
130123002523,GA,13063,Clayton County
130123002524,GA,13063,Clayton County
130123002836,GA,13063,Clayton County
130123002837,GA,13063,Clayton County
130123003316,GA,13063,Clayton County
130123003317,GA,13063,Clayton County
130123003318,GA,13063,Clayton County
130123003319,GA,13063,Clayton County
130123003687,GA,13063,Clayton County
130123003752,GA,13063,Clayton County
130123003855,GA,13063,Clayton County
130123003896,GA,13063,Clayton County
130123004022,GA,13063,Clayton County
130123004154,GA,13063,Clayton County
130123004279,GA,13063,Clayton County
130123004309,GA,13063,Clayton County
130123004324,GA,13063,Clayton County
130126000504,GA,13065,Clinch County
130126002106,GA,13065,Clinch County
130126002362,GA,13065,Clinch County
130129000240,GA,13067,Cobb County
130129000242,GA,13067,Cobb County
130129000244,GA,13067,Cobb County
130129000507,GA,13067,Cobb County
130129000508,GA,13067,Cobb County
130129000509,GA,13067,Cobb County
130129000510,GA,13067,Cobb County
130129000511,GA,13067,Cobb County
130129000512,GA,13067,Cobb County
130129000513,GA,13067,Cobb County
130129000514,GA,13067,Cobb County
130129000515,GA,13067,Cobb County
130129000517,GA,13067,Cobb County
130129000518,GA,13067,Cobb County
130129000520,GA,13067,Cobb County
130129000521,GA,13067,Cobb County
130129000523,GA,13067,Cobb County
130129000525,GA,13067,Cobb County
130129000526,GA,13067,Cobb County
130129000527,GA,13067,Cobb County
130129000528,GA,13067,Cobb County
130129000529,GA,13067,Cobb County
130129000531,GA,13067,Cobb County
130129000532,GA,13067,Cobb County
130129000533,GA,13067,Cobb County
130129000534,GA,13067,Cobb County
130129000535,GA,13067,Cobb County
130129000536,GA,13067,Cobb County
130129000537,GA,13067,Cobb County
130129000538,GA,13067,Cobb County
130129000539,GA,13067,Cobb County
130129000540,GA,13067,Cobb County
130129000541,GA,13067,Cobb County
130129000543,GA,13067,Cobb County
130129000544,GA,13067,Cobb County
130129000545,GA,13067,Cobb County
130129000547,GA,13067,Cobb County
130129000548,GA,13067,Cobb County
130129000551,GA,13067,Cobb County
130129000552,GA,13067,Cobb County
130129000553,GA,13067,Cobb County
130129000554,GA,13067,Cobb County
130129000555,GA,13067,Cobb County
130129000556,GA,13067,Cobb County
130129000557,GA,13067,Cobb County
130129000558,GA,13067,Cobb County
130129000559,GA,13067,Cobb County
130129000560,GA,13067,Cobb County
130129000561,GA,13067,Cobb County
130129000564,GA,13067,Cobb County
130129000566,GA,13067,Cobb County
130129000567,GA,13067,Cobb County
130129000568,GA,13067,Cobb County
130129000571,GA,13067,Cobb County
130129000572,GA,13067,Cobb County
130129000573,GA,13067,Cobb County
130129000574,GA,13067,Cobb County
130129001479,GA,13067,Cobb County
130129001490,GA,13067,Cobb County
130129001491,GA,13067,Cobb County
130129001880,GA,13067,Cobb County
130129001881,GA,13067,Cobb County
130129001882,GA,13067,Cobb County
130129001926,GA,13067,Cobb County
130129001935,GA,13067,Cobb County
130129001972,GA,13067,Cobb County
130129001973,GA,13067,Cobb County
130129001974,GA,13067,Cobb County
130129001994,GA,13067,Cobb County
130129001995,GA,13067,Cobb County
130129002021,GA,13067,Cobb County
130129002022,GA,13067,Cobb County
130129002023,GA,13067,Cobb County
130129002024,GA,13067,Cobb County
130129002058,GA,13067,Cobb County
130129002069,GA,13067,Cobb County
130129002070,GA,13067,Cobb County
130129002107,GA,13067,Cobb County
130129002108,GA,13067,Cobb County
130129002109,GA,13067,Cobb County
130129002110,GA,13067,Cobb County
130129002138,GA,13067,Cobb County
130129002150,GA,13067,Cobb County
130129002153,GA,13067,Cobb County
130129002154,GA,13067,Cobb County
130129002158,GA,13067,Cobb County
130129002247,GA,13067,Cobb County
130129002248,GA,13067,Cobb County
130129002249,GA,13067,Cobb County
130129002250,GA,13067,Cobb County
130129002365,GA,13067,Cobb County
130129002475,GA,13067,Cobb County
130129002476,GA,13067,Cobb County
130129002526,GA,13067,Cobb County
130129002527,GA,13067,Cobb County
130129002840,GA,13067,Cobb County
130129002841,GA,13067,Cobb County
130129002842,GA,13067,Cobb County
130129003528,GA,13067,Cobb County
130129003529,GA,13067,Cobb County
130129003530,GA,13067,Cobb County
130129003531,GA,13067,Cobb County
130129003622,GA,13067,Cobb County
130129003632,GA,13067,Cobb County
130129003649,GA,13067,Cobb County
130129003679,GA,13067,Cobb County
130129003732,GA,13067,Cobb County
130129003781,GA,13067,Cobb County
130129003795,GA,13067,Cobb County
130129004134,GA,13067,Cobb County
130129004303,GA,13067,Cobb County
130135000576,GA,13069,Coffee County
130135000577,GA,13069,Coffee County
130135000578,GA,13069,Coffee County
130135000579,GA,13069,Coffee County
130135000581,GA,13069,Coffee County
130135000582,GA,13069,Coffee County
130135001883,GA,13069,Coffee County
130135001884,GA,13069,Coffee County
130135002306,GA,13069,Coffee County
130135003321,GA,13069,Coffee County
130135003323,GA,13069,Coffee County
130135004131,GA,13069,Coffee County
130138000584,GA,13071,Colquitt County
130138000585,GA,13071,Colquitt County
130138000586,GA,13071,Colquitt County
130138000587,GA,13071,Colquitt County
130138000588,GA,13071,Colquitt County
130138000589,GA,13071,Colquitt County
130138000590,GA,13071,Colquitt County
130138000591,GA,13071,Colquitt County
130138000594,GA,13071,Colquitt County
130138000595,GA,13071,Colquitt County
130138000597,GA,13071,Colquitt County
130138000598,GA,13071,Colquitt County
130138001975,GA,13071,Colquitt County
130138004052,GA,13071,Colquitt County
130141000126,GA,13073,Columbia County
130141000248,GA,13073,Columbia County
130141000599,GA,13073,Columbia County
130141000601,GA,13073,Columbia County
130141000602,GA,13073,Columbia County
130141000603,GA,13073,Columbia County
130141000604,GA,13073,Columbia County
130141000606,GA,13073,Columbia County
130141000607,GA,13073,Columbia County
130141000610,GA,13073,Columbia County
130141000611,GA,13073,Columbia County
130141001501,GA,13073,Columbia County
130141001502,GA,13073,Columbia County
130141001506,GA,13073,Columbia County
130141001885,GA,13073,Columbia County
130141001886,GA,13073,Columbia County
130141001996,GA,13073,Columbia County
130141001997,GA,13073,Columbia County
130141002025,GA,13073,Columbia County
130141002072,GA,13073,Columbia County
130141002073,GA,13073,Columbia County
130141002161,GA,13073,Columbia County
130141002366,GA,13073,Columbia County
130141002528,GA,13073,Columbia County
130141002848,GA,13073,Columbia County
130141003325,GA,13073,Columbia County
130141003554,GA,13073,Columbia County
130141003694,GA,13073,Columbia County
130141003903,GA,13073,Columbia County
130141004042,GA,13073,Columbia County
130141004246,GA,13073,Columbia County
130144000621,GA,13157,Jackson County
130144000622,GA,13157,Jackson County
130144000623,GA,13157,Jackson County
130144003617,GA,13157,Jackson County
130147000628,GA,13075,Cook County
130147001107,GA,13075,Cook County
130147003327,GA,13075,Cook County
130147003900,GA,13075,Cook County
130150000208,GA,13077,Coweta County
130150000747,GA,13077,Coweta County
130150000748,GA,13077,Coweta County
130150000750,GA,13077,Coweta County
130150000751,GA,13077,Coweta County
130150000753,GA,13077,Coweta County
130150000754,GA,13077,Coweta County
130150000755,GA,13077,Coweta County
130150000760,GA,13077,Coweta County
130150000761,GA,13077,Coweta County
130150000762,GA,13077,Coweta County
130150000816,GA,13077,Coweta County
130150000818,GA,13077,Coweta County
130150000825,GA,13077,Coweta County
130150001108,GA,13077,Coweta County
130150002026,GA,13077,Coweta County
130150002027,GA,13077,Coweta County
130150002028,GA,13077,Coweta County
130150002162,GA,13077,Coweta County
130150002251,GA,13077,Coweta County
130150002252,GA,13077,Coweta County
130150002307,GA,13077,Coweta County
130150002367,GA,13077,Coweta County
130150002531,GA,13077,Coweta County
130150003328,GA,13077,Coweta County
130150003329,GA,13077,Coweta County
130150003637,GA,13077,Coweta County
