State_Abbreviation,County_Name,StudyYear,MCInfant,MCToddler,MCPreschool,_75CInfant,_75CToddler,_75CPreschool,MCInfant_flag,MCToddler_flag,MCPreschool_flag,_75CInfant_flag,_75CToddler_flag,_75CPreschool_flag
GA,Banks County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Banks County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Barrow County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Barrow County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Barrow County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Barrow County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Barrow County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Barrow County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Barrow County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Barrow County,2015,122,112,113,138.85,132,128.22,3,1,3,3,1,3
GA,Barrow County,2016,125,115,115,143,135,131.85,3,1,3,3,1,3
GA,Barrow County,2017,128,118,117,147.15,138,135.48,3,1,3,3,1,3
GA,Barrow County,2018,131,121,119,151.3,141,139.11,3,1,3,3,1,3
GA,Barrow County,2019,134,124,121,155.45,144,142.74,3,1,3,3,1,3
GA,Barrow County,2020,137,127,123,159.6,147,146.37,3,1,3,3,1,3
GA,Barrow County,2021,140,130,125,163.75,150,150,3,1,3,3,1,3
GA,Barrow County,2022,143,133,127.65,167.9,153,153.63,3,1,3,3,1,3
GA,Bartow County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bartow County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bartow County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bartow County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bartow County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bartow County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bartow County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bartow County,2015,122,112,113,138.85,132,128.22,3,1,3,3,1,3
GA,Bartow County,2016,125,115,115,143,135,131.85,3,1,3,3,1,3
GA,Bartow County,2017,128,118,117,147.15,138,135.48,3,1,3,3,1,3
GA,Bartow County,2018,131,121,119,151.3,141,139.11,3,1,3,3,1,3
GA,Bartow County,2019,134,124,121,155.45,144,142.74,3,1,3,3,1,3
GA,Bartow County,2020,137,127,123,159.6,147,146.37,3,1,3,3,1,3
GA,Bartow County,2021,140,130,125,163.75,150,150,3,1,3,3,1,3
GA,Bartow County,2022,143,133,127.65,167.9,153,153.63,3,1,3,3,1,3
GA,Ben Hill County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Ben Hill County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Ben Hill County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Ben Hill County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Ben Hill County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Ben Hill County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Ben Hill County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Ben Hill County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Ben Hill County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Ben Hill County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Ben Hill County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Ben Hill County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Ben Hill County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Ben Hill County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Ben Hill County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Berrien County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Berrien County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Berrien County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Berrien County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Berrien County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Berrien County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Berrien County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Berrien County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Berrien County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Berrien County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Berrien County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Berrien County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Berrien County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Berrien County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Berrien County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Bibb County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bibb County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bibb County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bibb County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bibb County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bibb County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bibb County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bibb County,2015,122,112,113,138.85,132,128.22,3,1,3,3,1,3
GA,Bibb County,2016,125,115,115,143,135,131.85,3,1,3,3,1,3
GA,Bibb County,2017,128,118,117,147.15,138,135.48,3,1,3,3,1,3
GA,Bibb County,2018,131,121,119,151.3,141,139.11,3,1,3,3,1,3
GA,Bibb County,2019,134,124,121,155.45,144,142.74,3,1,3,3,1,3
GA,Bibb County,2020,137,127,123,159.6,147,146.37,3,1,3,3,1,3
GA,Bibb County,2021,140,130,125,163.75,150,150,3,1,3,3,1,3
GA,Bibb County,2022,143,133,127.65,167.9,153,153.63,3,1,3,3,1,3
GA,Bleckley County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bleckley County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bleckley County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bleckley County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bleckley County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bleckley County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bleckley County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bleckley County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Bleckley County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Bleckley County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Bleckley County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Bleckley County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Bleckley County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Bleckley County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Bleckley County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Brantley County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brantley County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brantley County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brantley County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brantley County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brantley County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brantley County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brantley County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Brantley County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Brantley County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Brantley County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Brantley County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Brantley County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Brantley County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Brantley County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Brooks County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brooks County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brooks County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brooks County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brooks County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brooks County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brooks County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Brooks County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Brooks County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Brooks County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Brooks County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Brooks County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Brooks County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Brooks County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Brooks County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Bryan County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bryan County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bryan County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bryan County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bryan County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bryan County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bryan County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bryan County,2015,122,112,113,138.85,132,128.22,3,1,3,3,1,3
GA,Bryan County,2016,125,115,115,143,135,131.85,3,1,3,3,1,3
GA,Bryan County,2017,128,118,117,147.15,138,135.48,3,1,3,3,1,3
GA,Bryan County,2018,131,121,119,151.3,141,139.11,3,1,3,3,1,3
GA,Bryan County,2019,134,124,121,155.45,144,142.74,3,1,3,3,1,3
GA,Bryan County,2020,137,127,123,159.6,147,146.37,3,1,3,3,1,3
GA,Bryan County,2021,140,130,125,163.75,150,150,3,1,3,3,1,3
GA,Bryan County,2022,143,133,127.65,167.9,153,153.63,3,1,3,3,1,3
GA,Bulloch County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bulloch County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bulloch County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bulloch County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bulloch County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bulloch County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bulloch County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bulloch County,2015,122,112,113,138.85,132,128.22,3,1,3,3,1,3
GA,Bulloch County,2016,125,115,115,143,135,131.85,3,1,3,3,1,3
GA,Bulloch County,2017,128,118,117,147.15,138,135.48,3,1,3,3,1,3
GA,Bulloch County,2018,131,121,119,151.3,141,139.11,3,1,3,3,1,3
GA,Bulloch County,2019,134,124,121,155.45,144,142.74,3,1,3,3,1,3
GA,Bulloch County,2020,137,127,123,159.6,147,146.37,3,1,3,3,1,3
GA,Bulloch County,2021,140,130,125,163.75,150,150,3,1,3,3,1,3
GA,Bulloch County,2022,143,133,127.65,167.9,153,153.63,3,1,3,3,1,3
GA,Burke County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Burke County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Burke County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Burke County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Burke County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Burke County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Burke County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Burke County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Burke County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Burke County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Burke County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Burke County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Burke County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Burke County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Burke County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Butts County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Butts County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Butts County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Butts County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Butts County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Butts County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Butts County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Butts County,2015,122,112,113,138.85,132,128.22,3,1,3,3,1,3
GA,Butts County,2016,125,115,115,143,135,131.85,3,1,3,3,1,3
GA,Butts County,2017,128,118,117,147.15,138,135.48,3,1,3,3,1,3
GA,Butts County,2018,131,121,119,151.3,141,139.11,3,1,3,3,1,3
GA,Butts County,2019,134,124,121,155.45,144,142.74,3,1,3,3,1,3
GA,Butts County,2020,137,127,123,159.6,147,146.37,3,1,3,3,1,3
GA,Butts County,2021,140,130,125,163.75,150,150,3,1,3,3,1,3
GA,Butts County,2022,143,133,127.65,167.9,153,153.63,3,1,3,3,1,3
GA,Calhoun County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Calhoun County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Calhoun County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Calhoun County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Calhoun County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Calhoun County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Calhoun County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Calhoun County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Calhoun County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Calhoun County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Calhoun County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Calhoun County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Calhoun County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Calhoun County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Calhoun County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Camden County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Camden County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Camden County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Camden County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Camden County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Camden County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Camden County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Camden County,2015,170,161.2,151,231.6,215,204.36,3,1,3,3,1,3
GA,Camden County,2016,175,165,155,236.66,220,209.3,3,1,3,3,1,3
GA,Camden County,2017,180,168.8,159,241.72,225,214.24,3,1,3,3,1,3
GA,Camden County,2018,185,172.6,163,246.78,230,219.18,3,1,3,3,1,3
GA,Camden County,2019,190,176.4,167,251.85,235,224.12,3,1,3,3,1,3
GA,Camden County,2020,195,180.2,171,256.91,240,229.06,3,1,3,3,1,3
GA,Camden County,2021,200,184,175,261.97,245,234,3,1,3,3,1,3
GA,Camden County,2022,205,187.8,179,267.03,250,238.94,3,1,3,3,1,3
GA,Candler County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Candler County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Candler County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Candler County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Candler County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Candler County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Candler County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Candler County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Candler County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Candler County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Candler County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Candler County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Candler County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Candler County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Candler County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
