grant_Number,program_type,recipient_name,service_location_name,address_line_one,address_line_two,city,state,zip,zip_4,latitude,longitude,county,funded_slots,status,registration_phone_number,service_location_phone_number,program_admin_ID,program_admin_name,program_admin_address_line_one,program_admin_address_line_two,program_admin_city,program_admin_state,program_admin_zip,program_admin_zip_4,program_admin_county
90CI010073,5,navajo_nation_tribal_government_the_az,Thoreau,20 Yds From Thoreau Chapter House,NA,Thoreau,NM,87323,-1,35.411159423033,-108.204335005557,McKinley County,20,Open,(928)357-6730 - 2500,(505) 905-0139,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Torreon,150 Ft SW of Torreon Chapter House,NA,Cuba,NM,87013,-1,35.7757633646326,-107.254857722754,Sandoval County,20,Open,(928)357-6730 - 2500,(505) 731-1501,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Nageezi,50 Ft South of Nageezi Chapter House,NA,Nageezi,NM,87037,-1,36.2611552,-107.7421545,San Juan County,13,Open,(928)357-6730 - 2500,(505) 960-6740,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Newcomb,50 Ft North of Newcomb Chapter House,NA,Newcomb,NM,87455,-1,36.2828091,-108.7086606,San Juan County,15,Open,(928)357-6730 - 2500,(505) 696-3355,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Sanostee,Indian Service Rt 34,NA,Sanostee,NM,87461,-1,36.4270529475752,-108.874270302463,San Juan County,15,Open,(928)357-6730 - 2500,(505) 723-2700,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Shiprock,30 Feet North of Shiprock Chapter House,NA,Shiprock,NM,87420,-1,36.7860374224759,-108.679148798148,San Juan County,40,Open,(928)357-6730 - 2500,(505) 368-1202,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,San Juan,Inside the San Juan Chapter House Route 36,NA,Fruitland,NM,87416,-1,36.7637173537713,-108.498775702246,San Juan County,18,Open,(928)357-6730 - 2500,(505) 906-0800,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Churchrock,59 Telestar Road,NA,Church Rock,NM,87311,-1,35.532805322609,-108.59739083674,McKinley County,15,Open,(928)357-6730 - 2500,(505) 905-5420,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Crystal,Crystal Chapter House,NA,Navajo,NM,87328,-1,36.0038403,-109.0172482,McKinley County,20,Open,(928)357-6730 - 2500,(505) 777-2667,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Littlewater,75 Feet SE of Littlewater Chapter House,NA,Crownpoint,NM,87313,-1,35.6534733,-108.0286466,McKinley County,10,Closed,(928)357-6730 - 2500,(505) 786-2483,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Upper Fruitland,100 Ft S of Hwy 36 Mile Marker 28,NA,Fruitland,NM,87416,-1,36.7391682,-108.3956352,San Juan County,15,Open,(928)357-6730 - 2500,(505) 960-0001,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
06CH011997,1,youth_development_inc_nm,Velarde,Velarde Elementary Campus,Hwy 68,Velarde,NM,87582,-1,36.1497161,-105.9523622,Rio Arriba County,1,Closed,(505)831-6038,(505) 852-1300,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Chico & General Bradley,150 General Bradley St NE,NA,Albuquerque,NM,87123,2522,35.0756957,-106.5483655,Bernalillo County,16,Open,(505)831-6038,(505) 299-3262,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Abiquiu,Highway 84 Gate 21342,NA,Abiquiu,NM,87510,-1,36.2153348,-106.3441409,Rio Arriba County,1,Closed,(505)831-6038,(505) 685-4084,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Questa,148 Embargo Rd,NA,Questa,NM,87556,-1,36.7013885,-105.6009933,Taos County,16,Open,(505)831-6038,(575) 586-0585,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Severo Padillas,2525 Los Padillas Rd SW,NA,Albuquerque,NM,87105,7250,34.958013,-106.708477,Bernalillo County,13,Open,(505)831-6038,(505) 873-3841,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Heights,2520 Virginia St NE,NA,Albuquerque,NM,87110,4689,35.1101966,-106.5531898,Bernalillo County,32,Open,(505)831-6038,(505) 212-7318,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Embudo,8000 Mountain Rd NE,NA,Albuquerque,NM,87110,7807,35.090668,-106.557525,Bernalillo County,16,Open,(505)831-6038,(505) 212-7335,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,South Valley CNM,5816 Isleta Blvd SW,NA,Albuquerque,NM,87105,6646,34.996097,-106.6922699,Bernalillo County,15,Open,(505)831-6038,(505) 873-0905,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Alameda,9800 4th St NW,NA,Albuquerque,NM,87114,2125,35.192723,-106.614741,Bernalillo County,16,Open,(505)831-6038,(505) 792-1284,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Llano Quemado,68 State Road 382,NA,Ranchos De Taos,NM,87557,8708,36.3484357,-105.6129102,Taos County,26,Open,(505)831-6038,(575) 758-3425,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Kirtland,3530 Gibson Blvd SE,NA,Albuquerque,NM,87116,3200,35.0580179,-106.605968,Bernalillo County,1,Open,(505)831-6038,(505) 255-2085,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Vadito,5 Picuris Rd,NA,Vadito,NM,87579,-1,36.2132809,-105.5993515,Taos County,16,Open,(505)831-6038,(575) 587-2337,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Pedro Baca,1700 El Centro Familiar Blvd SW,NA,Albuquerque,NM,87105,4502,35.0446686,-106.6800154,Bernalillo County,16,Open,(505)831-6038,(505) 212-7284,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Centro De Amor,309 Stover Ave SW,NA,Albuquerque,NM,87102,3851,35.0787647,-106.6520191,Bernalillo County,48,Open,(505)831-6038,(505) 212-7267,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Hernandez,State Road 84/285 #1934 B,NA,Hernandez,NM,87532,-1,36.0533976,-106.1173142,Santa Fe County,16,Open,(505)831-6038,(505) 747-2439,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Mary Ann Binford,1400 Corriz Dr SW,NA,Albuquerque,NM,87121,8311,35.0514719,-106.725788,Bernalillo County,32,Open,(505)831-6038,(505) 836-0276,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Southwestern Indian Polytechnic Institute (SIPI),9169 Coors Blvd NW,NA,Albuquerque,NM,87120,3101,35.176251,-106.670835,Bernalillo County,19,Open,(505)831-6038,(505) 922-6524,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Enos Garcia,305 Don Fernando St,NA,Taos,NM,87571,5954,36.4080447,-105.5782291,Taos County,17,Open,(505)831-6038,(575) 758-4556,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Arroyos del Norte,405 Hondo Seco Road,NA,Arroyo Seco,NM,87514,-1,36.52429,-105.602037,Taos County,16,Open,(505)831-6038,(575) 776-8656,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,1,youth_development_inc_nm,Reginald Chavez,2700 Mountain Rd NW,NA,Albuquerque,NM,87104,1716,35.099016,-106.679473,Bernalillo County,16,Open,(505)831-6038,(505) 244-0330,000,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,2,youth_development_inc_nm,Embudo,8000 Mountain Rd NE,NA,Albuquerque,NM,87110,7807,35.090668,-106.557525,Bernalillo County,24,Open,(505)212-7239,(505) 212-7335,200,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,2,youth_development_inc_nm,Mel Aragon,5317 2nd St SW,NA,Albuquerque,NM,87105,0766,35.001883,-106.664454,Bernalillo County,8,Open,(505)212-7239,(505) 877-2750,200,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,2,youth_development_inc_nm,Pedro Baca,1700 El Centro Familiar Blvd SW,NA,Albuquerque,NM,87105,4502,35.0446686,-106.6800154,Bernalillo County,24,Open,(505)212-7239,(505) 212-7284,200,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,2,youth_development_inc_nm,Llano Quemado,68 State Road 382,NA,Ranchos De Taos,NM,87557,8708,36.3484357,-105.6129102,Taos County,26,Open,(505)212-7239,(575) 758-3425,200,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,2,youth_development_inc_nm,Heights,2520 Virginia St NE,NA,Albuquerque,NM,87110,4689,35.1101966,-106.5531898,Bernalillo County,32,Open,(505)212-7239,(505) 212-7318,200,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,2,youth_development_inc_nm,Vadito,5 Picuris Rd,NA,Vadito,NM,87579,-1,36.2132809,-105.5993515,Taos County,7,Open,(505)212-7239,(575) 587-2337,200,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,2,youth_development_inc_nm,Enos Garcia,305 Don Fernando St,NA,Taos,NM,87571,5954,36.4080447,-105.5782291,Taos County,14,Open,(505)212-7239,(575) 758-4556,200,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,2,youth_development_inc_nm,Southwestern Indian Polytechnic Institute (SIPI),9169 Coors Blvd NW,NA,Albuquerque,NM,87120,3101,35.176251,-106.670835,Bernalillo County,16,Open,(505)212-7239,(505) 922-6524,200,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH011997,2,youth_development_inc_nm,Centro De Amor,309 Stover Ave SW,NA,Albuquerque,NM,87102,3851,35.0787647,-106.6520191,Bernalillo County,24,Open,(505)212-7239,(505) 212-7267,200,"Youth Development, Inc.",3451 Candelaria Rd NE,Ste A,Albuquerque,NM,87107,1955,Bernalillo County
06CH012005,1,eastern_plains_community_action_agency_inc_nm,Clovis Head Start,901 N Dr Martin Luther King Jr Blvd,NA,Clovis,NM,88101,5201,34.4067917,-103.2317035,Curry County,17,Closed,(575)461-1914 - 207,(575) 763-6443,000,"Eastern Plains Community Action Agency, Inc.",210 W Center St,NA,Tucumcari,NM,88401,2219,Quay County
06CH012005,1,eastern_plains_community_action_agency_inc_nm,Santa Rosa Early Head Start,658 S 5th St,NA,Santa Rosa,NM,88435,2430,34.9369319,-104.6808166,Guadalupe County,8,Open,(575)461-1914 - 207,(575) 472-3196,000,"Eastern Plains Community Action Agency, Inc.",210 W Center St,NA,Tucumcari,NM,88401,2219,Quay County
06CH012005,1,eastern_plains_community_action_agency_inc_nm,Portales Head Start,501 E 1st St,NA,Portales,NM,88130,5432,34.1881627,-103.3349363,Roosevelt County,51,Open,(575)461-1914 - 207,(575) 356-8712,000,"Eastern Plains Community Action Agency, Inc.",210 W Center St,NA,Tucumcari,NM,88401,2219,Quay County
06CH012005,1,eastern_plains_community_action_agency_inc_nm,Tucumcari Head Start,210 W Center St,NA,Tucumcari,NM,88401,2219,35.1777095,-103.727546,Quay County,39,Open,(575)461-1914 - 207,(575) 461-1914,000,"Eastern Plains Community Action Agency, Inc.",210 W Center St,NA,Tucumcari,NM,88401,2219,Quay County
06CH012005,2,eastern_plains_community_action_agency_inc_nm,Tucumcari Early Head Start,1608 S Rock Island St,NA,Tucumcari,NM,88401,3542,35.1638063,-103.7191648,Quay County,10,Open,(575)762-9116,(575) 461-9807,200,"Eastern Plains Community Action Agency, Inc.",210 W Center St,NA,Tucumcari,NM,88401,2219,Quay County
06CH012005,2,eastern_plains_community_action_agency_inc_nm,Clovis Early Head Start and Clovis Head Start,901 N Dr Martin Luther King Jr Blvd,NA,Clovis,NM,88101,5201,34.3987918,-103.2317802,Curry County,41,Open,(575)762-9116,(575) 763-6443,200,"Eastern Plains Community Action Agency, Inc.",210 W Center St,NA,Tucumcari,NM,88401,2219,Quay County
06CH012005,2,eastern_plains_community_action_agency_inc_nm,Portales Early Head Start,1034 Community Way,NA,Portales,NM,88130,6693,34.1841152,-103.3442119,Roosevelt County,42,Open,(575)762-9116,(575) 356-6038,200,"Eastern Plains Community Action Agency, Inc.",210 W Center St,NA,Tucumcari,NM,88401,2219,Quay County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Wallins Pre-school,993 Highway 219,NA,Wallins Creek,KY,40873,8995,36.8223121,-83.4120397,Harlan County,14,Open,(606)546-3152,(606) 664-3444,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Big Creek Elementary,523 KY 66,NA,Oneida,KY,40972,-1,37.1698679,-83.5842425,Clay County,10,Open,(606)546-3152,NA,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Cannon Child Develoment Center,56 Malibu Dr,NA,Cannon,KY,40923,6313,36.9221289,-83.8560845,Knox County,40,Open,(606)546-3152,(606) 546-7511,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Evarts Pre-school,132 Keister St,NA,Evarts,KY,40828,5908,36.8664516,-83.1953874,Harlan County,16,Open,(606)546-3152,(606) 837-2386,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Island Creek Child Development Center,187 Headstart Ln,NA,Manchester,KY,40962,8151,37.1537007,-83.7618641,Clay County,36,Open,(606)546-3152,(606) 598-3659,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Verda Child Development Center,54 Verda School Rd,NA,Evarts,KY,40828,-1,36.8509057,-83.2224297,Harlan County,40,Open,(606)546-3152,(606) 837-3314,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,James A Cawood Elementary (JACE),279 Ball Park Rd,NA,Harlan,KY,40831,1753,36.8102141,-83.3132176,Harlan County,15,Open,(606)546-3152,(606) 573-5029,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Girdler Elementary,5452 N KY 11,NA,Girdler,KY,40943,6447,36.938141,-83.8411816,Knox County,10,Open,(606)546-3152,(606) 546-4859,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Rosenwald Child Development Center,955 Whitesburg Hollow Rd,NA,Barbourville,KY,40906,-1,36.8673902,-83.8732161,Knox County,44,Open,(606)546-3152,(606) 546-6783,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Cawood Pre-school,51 Nola St,NA,Cawood,KY,40815,5251,36.7847813,-83.2305301,Harlan County,14,Open,(606)546-3152,(606) 573-2502,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Lynn Camp,366 N KY 830,NA,Corbin,KY,40701,6132,36.9495279,-84.0363706,Whitley County,18,Open,(606)546-3152,(606) 523-1814,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Tri-Cities Child Development Center,119 Central St,NA,Cumberland,KY,40823,1607,36.9771989,-82.9870157,Harlan County,52,Open,(606)546-3152,(606) 589-5522,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Perry Building,320 High St,NA,Barbourville,KY,40906,1349,36.8690177,-83.8845975,Knox County,24,Open,(606)546-3152,(606) 545-9076,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,G.R. Hampton Elementary,60 KY 3441,NA,Barbourville,KY,40906,8095,36.8494239,-83.8866719,Knox County,10,Open,(606)546-3152,(606) 546-4169,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Flat Lick Elementary,110 KY 3085,NA,Flat Lick,KY,40935,6461,36.8396324,-83.7813161,Knox County,10,Open,(606)546-3152,(606) 542-4712,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Barbourville City,140 School St,NA,Barbourville,KY,40906,1534,36.8708584,-83.8951213,Knox County,20,Open,(606)546-3152,(606) 546-3129,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Grays Knob Child Development Center,84 Morgan Drive,84 Morgan Drive,Grays Knob,KY,40829,-1,36.788,-83.2593,Harlan County,61,Open,(606)546-3152,(606) 573-6543,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Laurel County Child Development Center,1234 S Highway 1223,NA,Corbin,KY,40701,4652,36.9956334,-84.0993764,Whitley County,60,Open,(606)546-3152,(606) 528-9531,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Paces Creek Child Development Center,390 Ernie Couch Rd,NA,Manchester,KY,40962,-1,37.1318404,-83.7431105,Clay County,38,Open,(606)546-3152,(606) 598-6096,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Black Mountain Pre-school,1555 Highway 215,NA,Evarts,KY,40828,6522,36.857726,-83.1688781,Harlan County,14,Open,(606)546-3152,(606) 837-2214,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Cumberland Pre-school,322 Golf Course Rd,NA,Cumberland,KY,40823,1908,36.9715943,-82.9763539,Harlan County,15,Open,(606)546-3152,(606) 589-2511,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Oneida Elementary,435 Newfound Rd,NA,Oneida,KY,40972,6004,37.3074128,-83.6506575,Clay County,10,Open,(606)546-3152,(606) 847-4212,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,1,kceoc_community_action_partnership_inc_ky,Green Hills Pre-school,123 W Highway 221,NA,Bledsoe,KY,40810,8280,36.9261627,-83.2476546,Harlan County,10,Open,(606)546-3152,(606) 558-3533,000,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,2,kceoc_community_action_partnership_inc_ky,Island Creek Child Development Center,187 Headstart Ln,NA,Manchester,KY,40962,8151,37.1537007,-83.7618641,Clay County,16,Open,(606)546-3152,(606) 598-3659,200,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,2,kceoc_community_action_partnership_inc_ky,Tri-Cities Child Development Center,119 Central St,NA,Cumberland,KY,40823,1607,36.9771989,-82.9870157,Harlan County,23,Open,(606)546-3152,(606) 589-5522,200,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,2,kceoc_community_action_partnership_inc_ky,Paces Creek Child Development Center,390 Ernie Couch Rd,NA,Manchester,KY,40962,-1,37.1318404,-83.7431105,Clay County,28,Open,(606)546-3152,(606) 598-6096,200,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
04CH012004,2,kceoc_community_action_partnership_inc_ky,Verda Child Development Center,54 Verda School Rd,NA,Evarts,KY,40828,-1,36.8509057,-83.2224297,Harlan County,8,Open,(606)546-3152,(606) 837-3314,200,KCEOC Child Development Program,5448 N Us Highway 25e,NA,Gray,KY,40734,6582,Knox County
