SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,GRADE,RACE_ETHNICITY,SEX,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2018-2019,21,KENTUCKY,KY,Ballard Co. Preschool/Headstart Center,01,,KY-004015000,2100210,KY-004015000-004015070,210021000040,2100040,Pre-Kindergarten,No Category Codes,No Category Codes,117,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Barbourville City School,01,,KY-061016000,2100240,KY-061016000-061016011,210024001969,2101969,Pre-Kindergarten,No Category Codes,No Category Codes,41,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Bardstown Early Childhood Center,01,,KY-090017000,2100270,KY-090017000-090017009,210027002222,2102222,Pre-Kindergarten,No Category Codes,No Category Codes,297,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Austin Tracy Elementary School,01,,KY-005021000,2100300,KY-005021000-005021010,210030000047,2100047,Pre-Kindergarten,No Category Codes,No Category Codes,40,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Eastern Elementary School,01,,KY-005021000,2100300,KY-005021000-005021035,210030000049,2100049,Pre-Kindergarten,No Category Codes,No Category Codes,44,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hiseville Elementary School,01,,KY-005021000,2100300,KY-005021000-005021080,210030000050,2100050,Pre-Kindergarten,No Category Codes,No Category Codes,33,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Park City Elementary School,01,,KY-005021000,2100300,KY-005021000-005021130,210030000051,2100051,Pre-Kindergarten,No Category Codes,No Category Codes,48,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Red Cross Elementary School,01,,KY-005021000,2100300,KY-005021000-005021150,210030000052,2100052,Pre-Kindergarten,No Category Codes,No Category Codes,105,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Temple Hill Elementary School,01,,KY-005021000,2100300,KY-005021000-005021180,210030000053,2100053,Pre-Kindergarten,No Category Codes,No Category Codes,40,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,North Jackson Elementary,01,,KY-005021000,2100300,KY-005021000-005021014,210030002232,2102232,Pre-Kindergarten,No Category Codes,No Category Codes,58,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Owingsville Elementary School,01,,KY-006025000,2100330,KY-006025000-006025030,210033000056,2100056,Pre-Kindergarten,No Category Codes,No Category Codes,35,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Crossroads Elementary School,01,,KY-006025000,2100330,KY-006025000-006025014,210033002223,2102223,Pre-Kindergarten,No Category Codes,No Category Codes,25,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Beechwood Elementary School,01,,KY-059026000,2100360,KY-059026000-059026010,210036000059,2100059,Pre-Kindergarten,No Category Codes,No Category Codes,35,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Frakes School Center,01,,KY-007031000,2100390,KY-007031000-007031180,210039000067,2100067,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Lone Jack School Center,01,,KY-007031000,2100390,KY-007031000-007031250,210039000068,2100068,Pre-Kindergarten,No Category Codes,No Category Codes,15,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Right Fork School Center,01,,KY-007031000,2100390,KY-007031000-007031345,210039000072,2100072,Pre-Kindergarten,No Category Codes,No Category Codes,17,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Yellow Creek School Center,01,,KY-007031000,2100390,KY-007031000-007031390,210039000074,2100074,Pre-Kindergarten,No Category Codes,No Category Codes,55,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Bell Central School Center,01,,KY-007031000,2100390,KY-007031000-007031012,210039001881,2101881,Pre-Kindergarten,No Category Codes,No Category Codes,55,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Page School Center,01,,KY-007031000,2100390,KY-007031000-007031013,210039001882,2101882,Pre-Kindergarten,No Category Codes,No Category Codes,32,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Grandview Elementary School,01,,KY-019032000,2100420,KY-019032000-019032020,210042000076,2100076,Pre-Kindergarten,No Category Codes,No Category Codes,63,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Berea Community Elementary School,01,,KY-073034000,2100480,KY-073034000-073034010,210048000077,2100077,Pre-Kindergarten,No Category Codes,No Category Codes,55,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,A M Yealey Elementary School,01,,KY-008035000,2100510,KY-008035000-008035005,210051000079,2100079,Pre-Kindergarten,No Category Codes,No Category Codes,32,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Burlington Elementary School,01,,KY-008035000,2100510,KY-008035000-008035040,210051000082,2100082,Pre-Kindergarten,No Category Codes,No Category Codes,54,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Florence Elementary School,01,,KY-008035000,2100510,KY-008035000-008035050,210051000085,2100085,Pre-Kindergarten,No Category Codes,No Category Codes,126,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Chester Goodridge Elementary School,01,,KY-008035000,2100510,KY-008035000-008035055,210051000086,2100086,Pre-Kindergarten,No Category Codes,No Category Codes,40,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,New Haven Elementary School,01,,KY-008035000,2100510,KY-008035000-008035080,210051000088,2100088,Pre-Kindergarten,No Category Codes,No Category Codes,30,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Ockerman Elementary School,01,,KY-008035000,2100510,KY-008035000-008035081,210051000089,2100089,Pre-Kindergarten,No Category Codes,No Category Codes,39,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hillard Collins Elementary School,01,,KY-008035000,2100510,KY-008035000-008035065,210051001608,2101608,Pre-Kindergarten,No Category Codes,No Category Codes,51,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Stephens Elementary School,01,,KY-008035000,2100510,KY-008035000-008035083,210051001695,2101695,Pre-Kindergarten,No Category Codes,No Category Codes,31,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Erpenbeck Elementary School,01,,KY-008035000,2100510,KY-008035000-008035006,210051001710,2101710,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,North Pointe Elementary School,01,,KY-008035000,2100510,KY-008035000-008035008,210051001883,2101883,Pre-Kindergarten,No Category Codes,No Category Codes,47,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Shirley Mann Elementary School,01,,KY-008035000,2100510,KY-008035000-008035011,210051002022,2102022,Pre-Kindergarten,No Category Codes,No Category Codes,21,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Longbranch Elementary School,01,,KY-008035000,2100510,KY-008035000-008035017,210051002245,2102245,Pre-Kindergarten,No Category Codes,No Category Codes,37,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Bourbon County Preschool Headstart,01,,KY-009041000,2100540,KY-009041000-009041011,210054002054,2102054,Pre-Kindergarten,No Category Codes,No Category Codes,223,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,T C Cherry Elementary School,01,,KY-114042000,2100570,KY-114042000-114042080,210057000106,2100106,Pre-Kindergarten,No Category Codes,No Category Codes,98,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Catlettsburg Elementary School,01,,KY-010045000,2100620,KY-010045000-010045095,210062000118,2100118,Pre-Kindergarten,No Category Codes,No Category Codes,38,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Boyd Co Early Childhood Learning Ctr Nor,01,,KY-010045000,2100620,KY-010045000-010045198,210062001923,2101923,Pre-Kindergarten,No Category Codes,No Category Codes,79,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Boyd Co Early Childhood Learning Ctr Sou,01,,KY-010045000,2100620,KY-010045000-010045015,210062001972,2101972,Pre-Kindergarten,No Category Codes,No Category Codes,120,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Junction City Elementary School,01,,KY-011051000,2100630,KY-011051000-011051040,210063000121,2100121,Pre-Kindergarten,No Category Codes,No Category Codes,53,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Woodlawn Elementary School,01,,KY-011051000,2100630,KY-011051000-011051050,210063000122,2100122,Pre-Kindergarten,No Category Codes,No Category Codes,54,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Perryville Elementary School,01,,KY-011051000,2100630,KY-011051000-011051080,210063000124,2100124,Pre-Kindergarten,No Category Codes,No Category Codes,39,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Taylor Elementary School,01,,KY-012055000,2100660,KY-012055000-012055050,210066000128,2100128,Pre-Kindergarten,No Category Codes,No Category Codes,53,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,LBJ Elementary School,01,,KY-013061000,2100690,KY-013061000-013061150,210069000132,2100132,Pre-Kindergarten,No Category Codes,No Category Codes,40,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Marie Roberts-Caney Elementary School,01,,KY-013061000,2100690,KY-013061000-013061185,210069000133,2100133,Pre-Kindergarten,No Category Codes,No Category Codes,38,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Highland-Turner Elementary School,01,,KY-013061000,2100690,KY-013061000-013061030,210069001659,2101659,Pre-Kindergarten,No Category Codes,No Category Codes,38,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hardinsburg Elementary School,01,,KY-014065000,2100720,KY-014065000-014065020,210072000138,2100138,Pre-Kindergarten,No Category Codes,No Category Codes,62,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Ben Johnson Elementary School,01,,KY-014065000,2100720,KY-014065000-014065030,210072000139,2100139,Pre-Kindergarten,No Category Codes,No Category Codes,24,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Custer Elementary School,01,,KY-014065000,2100720,KY-014065000-014065040,210072000140,2100140,Pre-Kindergarten,No Category Codes,No Category Codes,18,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Irvington Elementary School,01,,KY-014065000,2100720,KY-014065000-014065050,210072000141,2100141,Pre-Kindergarten,No Category Codes,No Category Codes,55,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Brooks Elementary School,01,,KY-015071000,2100750,KY-015071000-015071010,210075000144,2100144,Pre-Kindergarten,No Category Codes,No Category Codes,60,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Cedar Grove Elementary,01,,KY-015071000,2100750,KY-015071000-015071020,210075000146,2100146,Pre-Kindergarten,No Category Codes,No Category Codes,56,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Lebanon Junction Elementary,01,,KY-015071000,2100750,KY-015071000-015071030,210075000148,2100148,Pre-Kindergarten,No Category Codes,No Category Codes,25,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Maryville Elementary School,01,,KY-015071000,2100750,KY-015071000-015071045,210075000149,2100149,Pre-Kindergarten,No Category Codes,No Category Codes,32,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,MT. Washington Elementary,01,,KY-015071000,2100750,KY-015071000-015071055,210075000151,2100151,Pre-Kindergarten,No Category Codes,No Category Codes,18,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Nichols Elementary,01,,KY-015071000,2100750,KY-015071000-015071070,210075000153,2100153,Pre-Kindergarten,No Category Codes,No Category Codes,6,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Overdale Elementary School,01,,KY-015071000,2100750,KY-015071000-015071080,210075000155,2100155,Pre-Kindergarten,No Category Codes,No Category Codes,25,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Roby Elementary School,01,,KY-015071000,2100750,KY-015071000-015071090,210075000156,2100156,Pre-Kindergarten,No Category Codes,No Category Codes,41,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Pleasant Grove Elementary School,01,,KY-015071000,2100750,KY-015071000-015071065,210075001305,2101305,Pre-Kindergarten,No Category Codes,No Category Codes,9,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Old Mill Elementary School,01,,KY-015071000,2100750,KY-015071000-015071078,210075001578,2101578,Pre-Kindergarten,No Category Codes,No Category Codes,25,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Freedom Elementary School,01,,KY-015071000,2100750,KY-015071000-015071006,210075001958,2101958,Pre-Kindergarten,No Category Codes,No Category Codes,22,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Shepherdsville Elementary,01,,KY-015071000,2100750,KY-015071000-015071008,210075001974,2101974,Pre-Kindergarten,No Category Codes,No Category Codes,28,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Crossroads Elementary,01,,KY-015071000,2100750,KY-015071000-015071060,210075002286,2102286,Pre-Kindergarten,No Category Codes,No Category Codes,48,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Burgin Independent School,01,,KY-084072000,2100780,KY-084072000-084072030,210078002407,2102407,Pre-Kindergarten,No Category Codes,No Category Codes,23,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Morgantown Elementary School,01,,KY-016075000,2100810,KY-016075000-016075120,210081000164,2100164,Pre-Kindergarten,No Category Codes,No Category Codes,43,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,North Butler Elementary,01,,KY-016075000,2100810,KY-016075000-016075031,210081001976,2101976,Pre-Kindergarten,No Category Codes,No Category Codes,64,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Caldwell County Primary School,01,,KY-017081000,2100840,KY-017081000-017081030,210084001660,2101660,Pre-Kindergarten,No Category Codes,No Category Codes,123,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Calloway County Preschool Center,01,,KY-018085000,2100870,KY-018085000-018085075,210087000931,2100931,Pre-Kindergarten,No Category Codes,No Category Codes,186,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,John W. Reiley Elementary School,01,,KY-019091000,2100900,KY-019091000-019091012,210090001320,2101320,Pre-Kindergarten,No Category Codes,No Category Codes,34,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Donald E. Cline Elementary School,01,,KY-019091000,2100900,KY-019091000-019091013,210090001335,2101335,Pre-Kindergarten,No Category Codes,No Category Codes,26,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Campbell Ridge Elementary,01,,KY-019091000,2100900,KY-019091000-019091019,210090001978,2101978,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Crossroads Elementary School,01,,KY-019091000,2100900,KY-019091000-019091035,210090002198,2102198,Pre-Kindergarten,No Category Codes,No Category Codes,30,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Campbellsville Elementary School,01,,KY-109092000,2100930,KY-109092000-109092010,210093000182,2100182,Pre-Kindergarten,No Category Codes,No Category Codes,45,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Carlisle County Elementary School,01,,KY-020095000,2100960,KY-020095000-020095060,210096000187,2100187,Pre-Kindergarten,No Category Codes,No Category Codes,89,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Carroll Co Childhood Development Center,01,,KY-021101000,2100990,KY-021101000-021101007,210099002293,2102293,Pre-Kindergarten,No Category Codes,No Category Codes,212,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Olive Hill Elementary School,01,,KY-022105000,2101020,KY-022105000-022105250,210102000198,2100198,Pre-Kindergarten,No Category Codes,No Category Codes,35,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Prichard Elementary School,01,,KY-022105000,2101020,KY-022105000-022105340,210102000199,2100199,Pre-Kindergarten,No Category Codes,No Category Codes,75,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Star Elementary School,01,,KY-022105000,2101020,KY-022105000-022105450,210102000200,2100200,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Heritage Elementary School,01,,KY-022105000,2101020,KY-022105000-022105052,210102001884,2101884,Pre-Kindergarten,No Category Codes,No Category Codes,44,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Tygart Creek Elementary School,01,,KY-022105000,2101020,KY-022105000-022105053,210102002340,2102340,Pre-Kindergarten,No Category Codes,No Category Codes,30,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Carter City Elementary School,01,,KY-022105000,2101020,KY-022105000-022105060,210102002356,2102356,Pre-Kindergarten,No Category Codes,No Category Codes,18,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Liberty Elementary School,01,,KY-023111000,2101050,KY-023111000-023111190,210105000208,2100208,Pre-Kindergarten,No Category Codes,No Category Codes,18,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Jones Park Elementary,01,,KY-023111000,2101050,KY-023111000-023111026,210105001981,2101981,Pre-Kindergarten,No Category Codes,No Category Codes,41,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Walnut Hill Elementary School,01,,KY-023111000,2101050,KY-023111000-023111015,210105002211,2102211,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Caverna Elementary School,01,,KY-005113000,2101110,KY-005113000-005113025,210111000213,2100213,Pre-Kindergarten,No Category Codes,No Category Codes,57,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Crofton Elementary School,01,,KY-024115000,2101150,KY-024115000-024115040,210115000222,2100222,Pre-Kindergarten,No Category Codes,No Category Codes,32,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Indian Hills Elementary School,01,,KY-024115000,2101150,KY-024115000-024115055,210115000224,2100224,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Pembroke Elementary School,01,,KY-024115000,2101150,KY-024115000-024115130,210115000231,2100231,Pre-Kindergarten,No Category Codes,No Category Codes,68,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Sinking Fork Elementary School,01,,KY-024115000,2101150,KY-024115000-024115150,210115000232,2100232,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,South Christian Elementary School,01,,KY-024115000,2101150,KY-024115000-024115170,210115000233,2100233,Pre-Kindergarten,No Category Codes,No Category Codes,53,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Martin Luther King Jr. Elementary School,01,,KY-024115000,2101150,KY-024115000-024115017,210115002024,2102024,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Freedom Elementary School,01,,KY-024115000,2101150,KY-024115000-024115026,210115002415,2102415,Pre-Kindergarten,No Category Codes,No Category Codes,66,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Clark County Preschool,01,,KY-025121000,2101200,KY-025121000-025121017,210120002120,2102120,Pre-Kindergarten,No Category Codes,No Category Codes,255,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Big Creek Elementary,01,,KY-026125000,2101230,KY-026125000-026125040,210123000247,2100247,Pre-Kindergarten,No Category Codes,No Category Codes,18,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Burning Springs Elementary,01,,KY-026125000,2101230,KY-026125000-026125070,210123000248,2100248,Pre-Kindergarten,No Category Codes,No Category Codes,18,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Goose Rock Elementary,01,,KY-026125000,2101230,KY-026125000-026125200,210123000251,2100251,Pre-Kindergarten,No Category Codes,No Category Codes,17,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hacker Elementary School,01,,KY-026125000,2101230,KY-026125000-026125220,210123000252,2100252,Pre-Kindergarten,No Category Codes,No Category Codes,17,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Manchester Elementary School,01,,KY-026125000,2101230,KY-026125000-026125500,210123000255,2100255,Pre-Kindergarten,No Category Codes,No Category Codes,34,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Oneida Elementary School,01,,KY-026125000,2101230,KY-026125000-026125570,210123000256,2100256,Pre-Kindergarten,No Category Codes,No Category Codes,10,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Clinton County Early Childhood Center,01,,KY-027131000,2101260,KY-027131000-027131020,210126002228,2102228,Pre-Kindergarten,No Category Codes,No Category Codes,127,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,William H Natcher Elementary School,01,,KY-014132000,2101290,KY-014132000-014132020,210129000262,2100262,Pre-Kindergarten,No Category Codes,No Category Codes,14,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Corbin Preschool,01,,KY-118133000,2101320,KY-118133000-118133016,210132001982,2101982,Pre-Kindergarten,No Category Codes,No Category Codes,138,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Biggs Early Childhood Education Ctr,01,,KY-059134000,2101350,KY-059134000-059134010,210135001664,2101664,Pre-Kindergarten,No Category Codes,No Category Codes,347,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Crittenden County Elementary School,01,,KY-028135000,2101380,KY-028135000-028135100,210138001441,2101441,Pre-Kindergarten,No Category Codes,No Category Codes,97,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Cumberland County Elementary School,01,,KY-029141000,2101410,KY-029141000-029141070,210141000286,2100286,Pre-Kindergarten,No Category Codes,No Category Codes,64,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Mary G. Hogsett Primary School,01,,KY-011143000,2101440,KY-011143000-011143003,210144002477,2102477,Pre-Kindergarten,No Category Codes,No Category Codes,95,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Audubon Elementary School,01,,KY-030145000,2101470,KY-030145000-030145085,210147000054,2100054,Pre-Kindergarten,No Category Codes,No Category Codes,60,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Highland Elementary School,01,,KY-030145000,2101470,KY-030145000-030145025,210147000299,2100299,Pre-Kindergarten,No Category Codes,No Category Codes,69,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Deer Park Elementary School,01,,KY-030145000,2101470,KY-030145000-030145040,210147000301,2100301,Pre-Kindergarten,No Category Codes,No Category Codes,70,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Sorgho Elementary School,01,,KY-030145000,2101470,KY-030145000-030145070,210147000303,2100303,Pre-Kindergarten,No Category Codes,No Category Codes,38,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Tamarack Elementary School,01,,KY-030145000,2101470,KY-030145000-030145095,210147000306,2100306,Pre-Kindergarten,No Category Codes,No Category Codes,90,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,West Louisville Elementary School,01,,KY-030145000,2101470,KY-030145000-030145130,210147000309,2100309,Pre-Kindergarten,No Category Codes,No Category Codes,33,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Whitesville Elementary School,01,,KY-030145000,2101470,KY-030145000-030145140,210147000310,2100310,Pre-Kindergarten,No Category Codes,No Category Codes,34,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,F T Burns Elementary School,01,,KY-030145000,2101470,KY-030145000-030145145,210147000311,2100311,Pre-Kindergarten,No Category Codes,No Category Codes,74,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Country Heights Elementary School,01,,KY-030145000,2101470,KY-030145000-030145150,210147001581,2101581,Pre-Kindergarten,No Category Codes,No Category Codes,29,Subtotal 4 - By Grade,Reported
