County,Name,Licensee_Owner,Director,Location_Street1,Location_Street_2,Location_City,Location_State,Location_Zip,Location_Zip_Updated,Latitude,Longitude,Capacity,Age_Range_of_Service,ObjectId
FAYETTE,Children's Treehouse of Knowledge,"Children's Treehouse Of Knowledge, Inc.","Bunton, Lillian Marie",309 Ohio Street,,Lexington,KY,40508,40508,38.045887,-84.48799,67,INFANT TO SCHOOL_AGE,11
FLEMING,Rosie's Playschool Learning Center and Childcare,Rosetta LeAnn Bannister,"Bannister, Rosetta LeAnn",278 Recreation Park Drive,,Flemingsburg,KY,41041,41041,39.048469,-84.495461,37,INFANT TO SCHOOL_AGE,12
FAYETTE,Cherish The Child Care Center,"Cherish The Child Care Center, Inc.","Maynard, Jean",102 Dennis Drive,,Lexington,KY,40503,40503,38.003387,-84.52247,66,INFANT TO SCHOOL_AGE,13
BOONE,"Children, Inc. Early Learning Center at Yealey Elementary","Children, Inc.","Bricking, Renee",10 Yealey Drive,,Florence,KY,41042,41042,38.986645,-84.65989,40,TWO_TO_SCHOOL,14
FLEMING,Kool Kids Learning Academy,Gregory Dale Howard,"Howard, Erin Mae",122 Frazier Street,,Flemingsburg,KY,41041,41041,38.418177,-83.749846,27,TODDLER TO SCHOOL_AGE,15
FLOYD,Baptist Learning Center,"First Baptist Church Of Prestonsburg, Kentucky (irene Cole Memorial) Inc.","Blackburn, Glenda Lee",157 South Front Street,,Prestonsburg,KY,41653,41653,37.66647,-82.77474,67,TODDLER TO TWO_TO_SCHOOL,16
BOONE,Kelly Elementary Afterschool Program,"Children, Inc.","Beane-Wright, Laura Michelle",6775 Mcville Rd.,,Burlington,KY,41005,41005,38.98359,-84.826195,19,SCHOOL_AGE,17
FAYETTE,Southern Hills Montessori School,Southern Hills Montessori School,"Lentz, Diane A",2356 Harrodsburg Road,,Lexington,KY,40503,40503,38.020832,-84.54375,64,TWO_TO_SCHOOL TO SCHOOL_AGE,18
FAYETTE,YMCA Child Development Center,"Young Men's Christian Association Of Central Kentucky, Inc.","Thakur, Adrienne August",381 West Loudon Avenue,,Lexington,KY,40508,40508,38.064125,-84.495804,40,SCHOOL_AGE,19
FLOYD,Allen Elementary FRYSC After School Care,Floyd County Board Of Education,"Turner, Jerri Lynn",112 Eagle Lane,,Allen,KY,41601,41601,37.61482,-82.721547,25,SCHOOL_AGE,20
BOONE,Immanuel Kids Day Out Preschool,"Immanuel United Methodist Church, Inc. Of Lakeside, Kentucky","Jamison, Angela Marie",1440 Boone Aire Rd.,,Florence,KY,41042,41042,39.013866,-84.675316,47,TWO_TO_SCHOOL,21
FLOYD,Prestonsburg Elementary Family Resource Center,Floyd County Board Of Education,"Haley, Betty S",140 South Clark Road,,Prestonsburg,KY,41653,41653,37.653675,-82.82138,60,SCHOOL_AGE,22
FAYETTE,Gan Shalom Preschool,"Ohavay Zion Congregation, Inc.","Howe, Amy Jo",2048 Edgewater Court,,Lexington,KY,40502,40502,37.99843,-84.470955,57,TODDLER TO TWO_TO_SCHOOL,23
BOONE,Little Learners Learning Center LLC,Little Learners Learning Center Llc,"Daugherty, Regina Lynn",18 Needmore St.,,Walton,KY,41094,41094,38.860775,-84.61232,25,INFANT TO SCHOOL_AGE,24
FAYETTE,Community Action Council- The Prep Academy at Winburn Center,"Community Action Council For Lexington-fayette, Bourbon, Harrison, And Nicholas Counties, Inc","Zipper, Gelonda Kaye",1169 Winburn Drive,,Lexington,KY,40511,40511,38.089333,-84.47502,146,INFANT TO TWO_TO_SCHOOL,25
FLOYD,Wesley Christian Learning Center,"Wesley Christian School, Inc","Jarrell, Selina Ann",103 Methodist Lane,,Allen,KY,41603,41603,37.61499,-82.72736,70,INFANT TO SCHOOL_AGE,26
FLOYD,Dinosaur Playland Daycare,Alice Karen Martin,"Martin, Alice Karen",520 Westminister Street,,Prestonsburg,KY,41653,41653,37.66887,-82.76852,40,INFANT TO SCHOOL_AGE,27
FLOYD,Kiddie-Land Daycare Center,Kiddie Land Daycare Inc,"Short, Kelly Denise",91 Bluegrass Hollow,,Eastern,KY,41622,41622,37.50095,-82.81947,42,INFANT TO SCHOOL_AGE,28
FLOYD,May Valley Early Childhood Center,Floyd County Board Of Education,"Stumbo, Chasity Dawn",481 Stephens Branch Road,,Martin,KY,41649,41649,37.70232,-82.776319,20,TWO_TO_SCHOOL,29
FLOYD,All 'Bout Children Daycare,"All 'bout Children Daycare, Inc.","Caudill, Britta",625 John Cc Mayo Avenue,,Auxier,KY,41602,41602,37.736561,-82.758928,50,INFANT TO SCHOOL_AGE,30
FLOYD,Adventure Learning Center Child Care,"Adventure Learning Center Child Care, Llc","Cobern, Rebecca S.",44 Hillside Center Drive,,Prestonsburg,KY,41653,41653,37.666553,-82.739105,49,TODDLER TO SCHOOL_AGE,31
FLOYD,Bright Beginnings Child Care,Ashley Marie Bartley,"Bartley, Ashley Marie",3122 South Lake Drive,,Presontsburg,KY,41653,41653,37.667977,-82.733682,40,INFANT TO SCHOOL_AGE,32
FRANKLIN,Little Lamb Pre-School,"Little Lamb Pre-school, Inc.","Miller, Linda Carol",#1 Hudson Hollow,,Frankfort,KY,40601,40601,38.178931,-84.894442,60,INFANT TO TWO_TO_SCHOOL,33
FRANKLIN,Blue Grass Head Start Community Center,"Blue Grass Community Action Partnership, Inc.","Banks, Betty J",955 Leestown Lane,,Frankfort,KY,40601,40601,38.211155,-84.86962,167,TWO_TO_SCHOOL,34
FRANKLIN,Cougar's Corner,Franklin Co. Board Of Education,"Aldridge, Darryl Eugene",#1 Cougar Lane,,Frankfort,KY,40601,40601,38.178577,-84.889226,300,SCHOOL_AGE,35
FRANKLIN,Capital Day School,Capital Day School Corporation,"Sandefur, Cheryl Denise",120 Deepwood Road,,Frankfort,KY,40601,40601,38.181175,-84.88521,128,TWO_TO_SCHOOL TO SCHOOL_AGE,36
FRANKLIN,Frankfort YMCA After School Program,The Frankfort Young Men's Christian Association,"Paul, Emily Nicole",402 West Broadway,,Frankfort,KY,40601,40601,38.200214,-84.87819,100,SCHOOL_AGE,37
FRANKLIN,"Great Beginnings Child Care, LLC","Great Beginnings Child Care, Llc","Weeks, Jenny",181 Doctors Drive,,Frankfort,KY,40601,40601,38.16142,-84.90744,91,INFANT TO SCHOOL_AGE,38
FRANKLIN,Western Hills High School Learning Center,Franklin Co. Board Of Education,"Varney, Gladys Marie",100 Doctors Drive,,Frankfort,KY,40601,40601,38.16146,-84.90793,36,INFANT TO TWO_TO_SCHOOL,39
FRANKLIN,New Horizons Child Development Center,"First Christian Church Of Frankfort, Kentucky, (disciples Of Christ) Inc.","Noe, Nena Rashell",316 Ann Street,,Frankfort,KY,40601,40601,38.19807,-84.876274,74,INFANT TO TWO_TO_SCHOOL,40
FRANKLIN,The Frankfort Christian Academy,"Frankfort Christian Academy, Inc.","Gross, Melissa Dawn ",1349 U.S. Highway 421 South,,Frankfort,KY,40601,40601,38.18764,-84.811062,112,TWO_TO_SCHOOL,41
FRANKLIN,Tiger Time,Franklin Co. Board Of Education,"Steele, Karen Jane",10 Doctors Drive,,Frankfort,KY,40601,40601,38.161415,-84.90721,100,SCHOOL_AGE,42
FRANKLIN,Good Shepherd Preschool,Roman Catholic Diocese ,"Ballantyne, Kim",75 Shepherd Way,,Frankfort,KY,40601,40601,38.228115,-84.869708,63,TWO_TO_SCHOOL TO SCHOOL_AGE,43
FRANKLIN,Southern Preschool & Childcare,"Southern Preschool & Childcare, Inc.","Anderson, Jessica Ann",109 Steele Street,,Frankfort,KY,40601,40601,38.195694,-84.87757,112,INFANT TO SCHOOL_AGE,44
FRANKLIN,Frankfort YMCA Crayon Club,The Frankfort Young Men's Christian Association,"Paul, Emily Nicole",142 Laneview Drive,,Frankfort,KY,40601,40601,38.164423,-84.82678,149,INFANT TO TWO_TO_SCHOOL,45
FRANKLIN,The Wolves' Den Westridge Elementary,Franklin Co. Board Of Education,"Sanford, Tiffany Dawn",200 Oak Ridge Drive,,Frankfort,KY,40601,40601,38.179561,-84.883194,265,TWO_TO_SCHOOL TO SCHOOL_AGE,46
FRANKLIN,Weekday Community Preschool,"Board Of Trustees Of First Presbyterian Church Of Frankfort, Kentucky","Connor, Loretta Jill",416 West Main St,,Frankfort,KY,40601,40601,38.19953,-84.880135,49,TWO_TO_SCHOOL,47
FRANKLIN,Early Learning Village ASP,Franklin Co. Board Of Education,"Collins, Yvette",200 Laralan Ave,,Frankfort,KY,40601,40601,38.194748,-84.8299,318,TWO_TO_SCHOOL TO SCHOOL_AGE,48
FRANKLIN,Hornet Club (The),Franklin Co. Board Of Education,"Nichols, Marilyn Sue",300 Copperleaf Boulevard,,Frankfort,KY,40601,40601,38.228115,-84.869708,100,SCHOOL_AGE,49
FRANKLIN,Elks' Learning Center,Franklin Co. Board Of Education,"Hobbs, Jamie Marcele",928 East Main St,,Frankfort,KY,40601,40601,38.207705,-84.830544,155,INFANT TO SCHOOL_AGE,50
FRANKLIN,Patriots' Place After School Child Care Peaks Mill Elementary,Franklin Co. Board Of Education,"Connely, Katie J",100 Peaks Mill Rd,,Frankfort,KY,40601,40601,38.27471,-84.811584,100,SCHOOL_AGE,51
FRANKLIN,Kidzway Learning Center,"Hope Community Church, Inc.","Walker, Beci",5700 Us 127 South,,Frankfort,KY,40601,40601,38.106491,-84.91532,99,INFANT TO SCHOOL_AGE,52
FRANKLIN,Frankfort Early Learning Academy,Frankfort Independent School District Finance Corporation,"Thornsberry, Tonya Lynn",506 W. Second Street,Second Street Elementary School,Frankfort,KY,40601,40601,38.19508,-84.87897,38,TWO_TO_SCHOOL,53
FRANKLIN,Wesley Center Day School,"First United Methodist Church Wesley Center Day School, Inc.","Goins, Laura Leigh",211 Washington Street,,Frankfort,KY,40601,40601,38.198223,-84.879974,99,INFANT TO SCHOOL_AGE,54
FRANKLIN,"The Frankfort Child Development Center, LLC","The Frankfort Child Development Center, Llc","Hogan, Kizzy Monick",375 Versailles Road,,Frankfort,KY,40601,40601,38.197056,-84.829994,70,INFANT TO SCHOOL_AGE,55
FRANKLIN,"The Learning Tree Academy, LLC","Learning Tree Academy, Llc","Wilson, Tara Ann",99 C Michael Davenport Blvd.,,Frankfort,KY,40601,40601,38.16092,-84.91813,75,INFANT TO TWO_TO_SCHOOL,56
FRANKLIN,The Learning Tree Christian Academy,Sheila Annette  Horton,"Horton, Sheila Annette ",1007 Twilight Trail,Building C,Frankfort,KY,40601,40601,38.157986,-84.89969,35,INFANT TO SCHOOL_AGE,57
FRANKLIN,True Vine Christian Learning Center,"WOVEN BY GOD, LLC","Hearndon-Dixon, Kai Niyoka",43 Reilly Rd.,,Frankfort,KY,40601,40601,38.212498,-84.86274,18,INFANT TO SCHOOL_AGE,58
FRANKLIN,The Capital Academy,"The Capital Academy, LLC","Perry, Jacqueline Denise",317 Capital Avenue,,Frankfort,KY,40601,40601,38.193295,-84.8745,35,INFANT TO TWO_TO_SCHOOL,59
FRANKLIN,The Learning Tree Christian Academy,Sheila Annette  Horton,"Horton, Sheila Annette ",1491 Twilight Trail,Lower Level,Frankfort,KY,40601,40601,38.15596,-84.909485,40,INFANT TO TWO_TO_SCHOOL,60
FRANKLIN,Precious Promises,"PRECIOUS PROMISES, LLC","James, Tonisha",1007 Mojave Trail,,Frankfort,KY,40601,40601,38.216434,-84.83688,71,INFANT TO SCHOOL_AGE,61
FULTON,First Baptist Preschool/Day Care,Nancy Rose Owen,"Owen, Nancy Rose",115 Second Street,,Fulton,KY,42041,42041,36.503941,-88.879343,56,INFANT TO SCHOOL_AGE,62
FULTON,Fulton County Early Head Start,Murray Independent School District,"Gray, Tameka Lashea",2780 Moscow Avenue,,Hickman,KY,42050,42050,36.571159,-89.165034,20,INFANT TO TWO_TO_SCHOOL,63
FULTON,First Christian Kids,Katherine Marie Joyner,"Joyner, Katherine Marie",108 Carr St.,,Fulton,KY,42041,42041,36.50544,-88.877284,26,INFANT TO TWO_TO_SCHOOL,64
BOONE,Children Inc. Boone County Early Learning Center,"Children, Inc.","Ehler, Cindy",7627 Ewing Blvd.,,Florence,KY,41042,41042,38.99276,-84.639496,128,INFANT TO SCHOOL_AGE,65
GREENUP,Russell Early Childhood Learning Center and After School Program,Russell Early Childhood Learning Center,"Roark, Becky Ann",710 Red Devil Lane,,Russell,KY,41169,41169,38.51032,-82.70809,210,TODDLER TO SCHOOL_AGE,66
ADAIR,Robin's Nest Daycare,Robin's Nest Daycare Inc.,"Franklin, Robin Ann",55 East Wilson Drive,,Columbia,KY,42728,42728,37.08986,-85.26612,98,INFANT TO SCHOOL_AGE,67
FAYETTE,North Star Academy,"North Star Academy, LLC","Jackson, Bonnie S.",1816 Bryan Station Road,,Lexington,KY,40505,40505,38.063572,-84.45392,84,INFANT TO SCHOOL_AGE,68
GALLATIN,Gallatin County Head Start,Ohio Valley Educational Cooperative,"Fithian, Kim Lovell",25 Boaz Drive,,Warsaw,KY,41095,41095,38.783503,-84.89367,32,TWO_TO_SCHOOL,69
GALLATIN,Gallatin County Early Head Start,Ohio Valley Educational Cooperative,"Fithian, Kim Lovell",25 Boaz Drive,,Warsaw,KY,41095,41095,38.783503,-84.89367,21,INFANT TO TWO_TO_SCHOOL,70
GARRARD,The Learning Tree for Children,"The Learning Tree For Children, Llc","Lawrence, Amanda Lee",258 Lexington Street,,Lancaster,KY,40444,40444,37.626194,-84.579216,100,INFANT TO SCHOOL_AGE,71
GARRARD,MAFEW Camp Dick Robinson,"Mercer Area Family Education And Wellness, Inc","Goodpaster, Tammy Lynn",7541 Lexington Road,,Lancaster,KY,40444,40444,37.660466,-84.61597,40,SCHOOL_AGE,72
GARRARD,Learn and Play Daycare Center,Learn And Play Daycare Llc,"Pietrzak, Lesia A",159 Pine Crest Road,,Lancaster,KY,40444,40444,37.76038,-84.61165,50,INFANT TO SCHOOL_AGE,73
GARRARD,Lil' Rascals Learning Campus,"Lil' Rascals Learning Campus, Llc","Justus, Crystal",141 Bryantsville Road,,Lancaster,KY,40444,40444,37.714025,-84.649502,49,INFANT TO SCHOOL_AGE,74
GARRARD,Little Lions Preschool,"Little Patriots Preschool, Llc","Brown, Shanda Ann",201 Richmond Road,,Lancaster,KY,40444,40444,37.619125,-84.57625,49,INFANT TO SCHOOL_AGE,75
GARRARD,The Other Mother,The Other Mother LLC,"Sowder, Susan Bailey",222 Lexington Street,,Lancaster,KY,40444,40444,37.623272,-84.5781,23,TWO_TO_SCHOOL TO SCHOOL_AGE,76
GRANT,Crittenden-Mt. Zion Elem After School Program,"Children, Inc.","Beane-Wright, Laura Michelle",270 Crittenden-mt. Zion Road,,Dry Ridge,KY,41035,41035,38.767894,-84.623095,25,SCHOOL_AGE,77
GRANT,Kiddie College,"Kiddie College, Llc","Hammonds, Trisha",126 South Main Street,,Dry Ridge,KY,41035,41035,38.675674,-84.583855,73,INFANT TO SCHOOL_AGE,78
GRANT,Beck's Daycare & Learning Center,"Beck's Daycare & Learning Center, LLC","Jones, Rebecca Jo",1212 F North Main Street,,Williamstown,KY,41097,41097,38.653264,-84.573054,84,INFANT TO SCHOOL_AGE,79
GRANT,"Kiddie College II, LLC","Kiddie College II,  LLC","Lona, Renee Lynn",2815 Dixie Highway,,Dry Ridge,KY,41035,41035,38.76204,-84.606,89,INFANT TO SCHOOL_AGE,80
GRANT,The Place For Kids Crittenden Daycare,Karen Ranea Pinales,"Pinales, Karie Lynn",39 Warsaw Avenue,,Dry Ridge,KY,41030,41030,38.683495,-84.59599,78,INFANT TO SCHOOL_AGE,81
GRANT,Little Hands Big Hearts Childcare Center,Crystal Nicole Davis,"Hall, Christa ",385 Violet Road,Suite C,Crittenden,KY,41030,41030,38.788471,-84.607549,81,INFANT TO SCHOOL_AGE,82
GRANT,Dry Ridge Elem After School Program,"Children, Inc.","Beane-Wright, Laura Michelle",275 School Rd.,,Dry Ridge,KY,41035,41035,38.637559,-84.773077,75,SCHOOL_AGE,83
GRANT,Mason - Corinth Elementary After School,"Children, Inc.","Beane-Wright, Laura Michelle",225 Heekin Rd.,,Williamstown,KY,41097,41097,38.596625,-84.582682,75,SCHOOL_AGE,84
GRAVES,Stepping Stones Learning Center,"Stepping Stones Learning Center, Inc.","Irvan, Christy Renea",212 East Water Street,,Mayfield,KY,42066,42066,36.739628,-88.63435,99,INFANT TO SCHOOL_AGE,85
GRAVES,Sedalia Y's Guys,"Mayfield-graves County Ymca, Inc.","Gossum, Johnny",5252 State Route 97,,Mayfield,KY,42066,42066,36.646323,-88.605983,170,SCHOOL_AGE,86
GRAVES,Wingo Y's Guys,"Mayfield-graves County Ymca, Inc.","Gossum, Johnny",449 Lebanon Street,,Wingo,KY,42088,42088,36.642693,-88.74222,50,SCHOOL_AGE,87
GRAVES,Fancy Farm Y's Guys,"Mayfield-graves County Ymca, Inc.","Gossum, Johnny",270 State Route 339,,Fancy Farm,KY,42039,42039,36.79873,-88.791545,40,SCHOOL_AGE,88
GRAVES,Little Hearts & Little Hands Home Daycare,Patsy Gail May,"May, Patsy Gail",307 Golf Cart Drive,,Mayfield,KY,42066,42066,36.751648,-88.66236,40,INFANT TO TWO_TO_SCHOOL,89
GRAVES,KY Kids Preschool,Costello Service Corp.,"Walker, Wendy Ellen",311 North 8th Street,,Mayfield,KY,42066,42066,36.74464,-88.63704,27,TWO_TO_SCHOOL,90
BUTLER,Tiny Tot Academy,Shirley Ann Blancett,"Blancett, Shirley Ann",415 North Main Street,,Morgantown,KY,42261,42261,37.227924,-86.68115,12,TODDLER TO SCHOOL_AGE,91
GRAVES,Peanuts Gang Daycare,Scott William Raney,"Raney, Gloria Cortez",67 St. Rt. 2205,,Mayfield,KY,42066,42066,36.703102,-88.58761,38,TWO_TO_SCHOOL TO SCHOOL_AGE,92
GRAVES,Graves County Early Head Start,Murray Independent School District,"Stonecipher, Jeri Ann",2262 State Route 121 North,,Mayfield,KY,42066,42066,36.670693,-88.533102,17,INFANT TO TWO_TO_SCHOOL,93
GRAVES,Big Grannie's Daycare,"Big Grannie's Daycare, LLC","Hayden, Laura Jo",312 & 320 West Water Street,,Mayfield,KY,42066,42066,36.739584,-88.640214,102,INFANT TO SCHOOL_AGE,94
GRAVES,Central Y's Guys,"Mayfield-graves County Ymca, Inc.","Gossum, Johnny",2262 State Route 121 North,,Mayfield,KY,42066,42066,36.670693,-88.533102,100,SCHOOL_AGE,95
GRAVES,Farmington Y's Guys,"Mayfield-graves County Ymca, Inc.","Gossum, Johnny",7730 State Route 121 South,,Farmington,KY,42040,42040,36.652288,-88.460115,100,SCHOOL_AGE,96
GRAVES,Clarks River Preschool and Daycare,"Clark's River Baptist Church, Inc.","Masterson, Maria Danyella",10926 State Route 131,,Symsonia,KY,42082,42082,36.905447,-88.525188,52,INFANT TO SCHOOL_AGE,97
GRAVES,Little Angels Child Care,Marley Shaye Doran,"Doran, Marley Shaye",952 South 8th Street,,Mayfield,KY,42066,42066,36.730396,-88.63655,89,INFANT TO SCHOOL_AGE,98
GRAVES,Mayfield Graves Y's Guys Early Child Care Center,"Mayfield-graves County Ymca, Inc.","Gossum, Johnny",118 West South Street,,Mayfield,KY,42066,42066,36.74064,-88.63608,31,TWO_TO_SCHOOL,99
GRAVES,Mayfield City Y's Guys,"Mayfield-graves County Ymca, Inc.","Gossum, Johnny",1004 Backusburg Road,,Mayfield,KY,42066,42066,36.736942,-88.62395,30,SCHOOL_AGE,100
GRAVES,The Kidstruction Zone,The Kidstruction Zone LLC,"Gibson, Nichole Kenny",290 Dick Castleman Bypass,,Mayfield,KY,42066,42066,36.629318,-88.847533,40,TODDLER TO TWO_TO_SCHOOL,101
GRAVES,Early Eagle Academy - Graves County Middle School,Graves County Board of Education,"Hughes, Laura Catherine",625 Jimtown Rd.,,Mayfield,KY,42066,42066,36.763996,-88.651245,20,TWO_TO_SCHOOL,102
GRAVES,Mother Goose Learning Center,"724 Enterprises, LLC","Burton, Ashley Nicole",116 West Willow Drive,,Mayfield,KY,42066,42066,36.723774,-88.6374,76,INFANT TO SCHOOL_AGE,103
GRAVES,Early Eagle Academy - Fancy Farm,Graves County Board of Education,"Lee, Mandi Beth",270 State Route 339 South,,Fancy Farm,KY,42039,42039,36.794835,-88.792772,18,TWO_TO_SCHOOL,104
GRAVES,Early Eagle Academy - Farmington,Graves County Board of Education,"Richardson, Amber Nicole",7730 State Route 121 South,,Mayfield,KY,42066,42066,36.670693,-88.533102,20,TWO_TO_SCHOOL,105
GRAYSON,Head Start/Early Head Start,Breckinridge-grayson Programs Inc.,"Edwards, Twylynn Gail",201 East Walnut Street,,Leitchfield,KY,42754,42754,37.48138,-86.29264,200,TODDLER TO TWO_TO_SCHOOL,106
GRAYSON,Tammy Embry's Play School,"Tammy Embry's Play School, Inc.","Embry, Tammy Ann",103 Kelly Street,,Leitchfield,KY,42754,42754,37.49178,-86.29212,99,INFANT TO SCHOOL_AGE,107
GRAYSON,Clarkson Elementary School/Family Resource Center Daycare,Grayson County Board Of Education,"Brooks, Angela Marie",310 Millerstown Street,,Clarkson,KY,42726,42726,37.494297,-86.219086,93,TWO_TO_SCHOOL TO SCHOOL_AGE,108
GRAYSON,First Baptist Church Weekday Education,"First Baptist Church, Leitchfield, Kentucky, Inc.","Jones, Diane",106 East Walnut Street,,Leitchfield,KY,42754,42754,37.481438,-86.29348,85,TWO_TO_SCHOOL TO SCHOOL_AGE,109
GRAYSON,Tammy Embry's Play School #2,"Tammy Embry's Play School, Inc.","Embry, Tammy Ann",1316 Asbury Street,,Leitchfield,KY,42754,42754,37.4925,-86.291695,31,SCHOOL_AGE,110
GRAYSON,The Play Zone,Amanda Faye Meridith,"Mattingly, Kathy Marie",204 Marion Street,,Leitchfield,KY,42754,42754,37.48715,-86.29172,68,INFANT TO SCHOOL_AGE,111
GRAYSON,St. Paul Catholic School,St. Paul Catholic Church,"Darst, Janice Sue",1812 St. Paul Road,,Leitchfield,KY,42754,42754,37.102258,-85.311649,12,TWO_TO_SCHOOL,112
GREEN,Green County FRC Dragon's Den,Green County Board Of Education,"Pierce, Pamela Jo",100 Kidz Korner,,Greensburg,KY,42743,42743,37.260033,-85.49423,20,TWO_TO_SCHOOL TO SCHOOL_AGE,113
GREEN,Green County Head Start,"Lake Cumberland Community Action Agency, Inc.","Southwood, Anne Elizabeth",100 Kidz Corner,,Greensburg,KY,42743,42743,37.260033,-85.49423,80,TWO_TO_SCHOOL,114
GREEN,Little Lambs Learning Center,Little Lambs Learning Center Limited Liability Company,"Payne, Patsy Joanne",638 Old Hodgenville Rd.,,Greensburg,KY,42743,42743,37.292145,-85.52404,65,INFANT TO SCHOOL_AGE,115
GREENUP,Flatwoods Head Start,"Northeast Kentucky Community Action Agency, Inc.","Hammond, Alyce Faye",1179 Richard Drive,,Raceland,KY,41139,41139,38.537865,-82.72169,120,TWO_TO_SCHOOL,116
GREENUP,Bethel Lutheran Preschool,"Bethel Lutheran Church, Inc.","Morton, Cynthia",1351 Diederich Boulevard,,Russell,KY,41169,41169,38.50561,-82.69893,40,TWO_TO_SCHOOL,117
GREENUP,Little Angels Day Care/PreSchool,"Bridges Christian Church, Inc","Stevens, Lisa Lea",1402 Kenwood Drive,,Russell,KY,41169,41169,38.508537,-82.695786,99,INFANT TO SCHOOL_AGE,118
GREENUP,"Greenup County Schools ""Kids Place""",Greenup County Board Of Education,"Royster, Tammy Sue",28978 Us 23,,South Shore,KY,41175,41175,38.721448,-82.978348,52,SCHOOL_AGE,119
GREENUP,Wee Care,Sherri Lynn Sipple,"Sipple, Sherri Lynn",248 Biggs Lane,,South Shore,KY,41175,41175,38.569389,-82.95541,80,INFANT TO SCHOOL_AGE,120
GREENUP,Raceland Early Childhood Learning Center,Raceland-worthington Independent School District,"McKenzie, Leighan",Campbell Elementary,550 Ram Blvd.,Raceland,KY,41169,41169,38.542475,-82.735119,20,TWO_TO_SCHOOL,121
GREENUP,Kids' Country,"Kids Country, Inc.","Elmore, Jamie",714 Powell Lane,,Flatwoods,KY,41139,41139,38.518456,-82.71029,74,INFANT TO SCHOOL_AGE,122
GREENUP,"Tammy's Kids World Daycare, Inc.","Tammy's Kids World Daycare, Inc.","Snider, Tonia L",110 Saint Christopher Drive,,Ashland,KY,41101,41101,38.509182,-82.69405,49,TODDLER TO SCHOOL_AGE,123
GREENUP,Pitter Patter Daycare,Lisa Michelle Hardin,"Hardin, Lisa Michelle",18 Charles St,,Greenup,KY,41144,41144,38.63128,-82.866264,49,INFANT TO SCHOOL_AGE,124
GREENUP,Bright Beginnings Preschool,"Raceland Christian Church, Inc.","Stuart, Libby Anne",210 Caroline Rd.,,Raceland,KY,41169,41169,38.540825,-82.744255,30,TWO_TO_SCHOOL TO SCHOOL_AGE,125
GREENUP,Russell Preschool Community,Russell Early Childhood Learning Center,"Staton, Kimberly  Ray",710 Red Devil Lane,,Russell,KY,41169,41169,38.51032,-82.70809,66,TWO_TO_SCHOOL,126
HANCOCK,Lewisport Baptist Church Preschool,"Lewisport Baptist Church, Inc.","Roberts, Teresa Gayle",1115 Pell Street,,Lewisport,KY,42351,42351,37.93181,-86.913545,24,TWO_TO_SCHOOL,127
HARDIN,Toy Box Day Care & Preschool,Alice Mae Cross,"Cross, Alice Mae",2146 Hutcherson Lane,,Elizabethtown,KY,42701,42701,37.72555,-85.91065,36,INFANT TO SCHOOL_AGE,128
HARDIN,Baby Tender Day Care Inc,"Baby Tender Day Care, Inc.","Moses, Loretta Ann",108 French Street,,Elizabethtown,KY,42701,42701,37.702768,-85.843721,30,INFANT TO SCHOOL_AGE,129
