"dcid","permit_number","program_name","facility_type","program_type","address","borough","zipcode","phone","age_range","capacity","administer_medication","bin","bbl","community_board","council_district","census_tract","nta_code","latitude","longitude"
"DC109","7169","AMALGAMATED NURSERY SCHOOL","GCC","PRESCHOOL","3980 ORLOFF AVENUE","BRONX","10463","(718) 543-8688","2 YEARS - 5 YEARS","56","No","2015481","2032520276","208","11","028100","BX28","40.884161233737","-73.892438396148"
"DC10905","7081","MONA PREP DAY CARE INCORPORATED","GCC","PRESCHOOL","241-15 NORTH CONDUIT AVENUE","QUEENS","11422","(718) 525-8555","2 YEARS - 5 YEARS","135","No","4284726","4132560001","413","31","063800","QN05","40.666575234295","-73.736027855776"
"DC10910","7867","YORK COLLEGE CHILD& FAMILY CENTER INC","GCC","PRESCHOOL","94-12 160 STREET","QUEENS","11433","(718) 262-2930","2 YEARS - 5 YEARS","52","No","4439752","4101030016","412","27","024600","QN61","40.702295709724","-73.798085234013"
"DC44371","106581","LITTLE STARS CHILDCARE PROGRAM VII LLC","GCC","PRESCHOOL","4180 CARPENTER AVENUE","BRONX","10466","(917) 736-6737","2 YEARS - 5 YEARS","82","No","2131082","2048350045","212","11","042000","BX44","40.89380210383","-73.860527872009"
"DC593","1489","BOULEVARD NURSERY SCHOOL","GCC","PRESCHOOL","2150 LINDEN BOULEVARD","BROOKLYN","11207","(718) 679-6579","2 YEARS - 5 YEARS","45","No","3324285","3043550001","305","42","111000","BK82","40.661585846002","-73.883596703179"
"DC10985","5313","INTERDISCIPLINARY CENTER FOR CHILD DEVELOPMENT INC.","GCC","PRESCHOOL","98-02 62 DRIVE","QUEENS","11374","(718) 263-1587","2 YEARS - 5 YEARS","147","No","4440231","4020860050","406","24","071701","QN18","40.733068604509","-73.859609928368"
"DC10993","7293","CREATIVE DISCOVERY PRESCHOOL, INC","GCC","PRESCHOOL","64-01 102 STREET","QUEENS","11374","(917) 502-0685","2 YEARS - 5 YEARS","39","No","4051191","4021270014","406","29","072100","QN17","40.731650190761","-73.853529530985"
"DC11","7126","BROOKLYN HEIGHTS SYNAGOGUE PRESCHOOL","GCC","PRESCHOOL","131 REMSEN STREET","BROOKLYN","11201","(718) 522-2070","2 YEARS - 5 YEARS","136","No","3002069","3002490006","302","33","000502","BK09","40.693761394025","-73.993307040851"
"DC11009","5085","QUEENS CENTER FOR PROGRESS","GCC","PRESCHOOL","82-25 164 STREET","QUEENS","11432","(718) 374-0002","2 YEARS - 5 YEARS","105","No","4152348","4070380020","408","24","126700","QN38","40.718538172133","-73.803760900685"
"DC45907","N/A","CORTELYOU EARLY CHILDHOOD CENTER","SBCC","PRESCHOOL","1159 FLATBUSH AVENUE","BROOKLYN","11226","(718) 282-6077","3 YEARS - 5 YEARS","NO DATA","No","3119600","3051870001","314","45","079000","BK95","40.642022746786","-73.957120570011"
"DC1103","N/A","BETH RACHEL SCHOOL FOR GIRLS","SBCC","PRESCHOOL","241 KEAP STREET","BROOKLYN","11211","(718) 963-9292","3 YEARS - 5 YEARS","NO DATA","No","3060167","3021950001","301","33","052900","BK72","40.706233860525","-73.956621044197"
"DC1105","N/A","BETH RACHEL SCHOOL FOR GIRLS","SBCC","PRESCHOOL","720 WYTHE AVENUE","BROOKLYN","11249","(718) 735-9848","2 YEARS - 5 YEARS","220","No","3335003","3021970033","301","33","053900","BK72","40.701890701105","-73.961712740215"
"DC44370","106579","LITTLE STARS CHILDCARE PROGRAM VII LLC","GCC","INFANT TODDLER","4180 CARPENTER AVENUE","BRONX","10466","(917) 736-6737","0 YEARS - 2 YEARS","32","No","2131082","2048350045","212","11","042000","BX44","40.89380210383","-73.860527872009"
"DC11067","6385","EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.","GCC","PRESCHOOL","30 EAST 111 STREET","MANHATTAN","10029","(212) 860-7201","2 YEARS - 5 YEARS","87","No","1085254","1016160001","111","09","017402","MN33","40.797062564719","-73.947832058084"
"DC1107","N/A","YESHIVA BNEI SHIMON YISROEL SOPRON","SBCC","PRESCHOOL","18 WARSOFF PLACE","BROOKLYN","11205","(718) 855-4092","3 YEARS - 5 YEARS","NO DATA","No","3329613","3017177501","303","33","123700","BK75","40.698574990301","-73.954159281401"
"DC11073","6139","BRIGHT HORIZONS AT 200 PARK AVENUE","GCC","PRESCHOOL","200 PARK AVENUE","MANHATTAN","10017","(212) 286-5437","2 YEARS - 5 YEARS","29","Yes","1085735","1012809010","105","04","009200","MN19","40.754155038895","-73.976556932062"
"DC11087","7267","BRIGHT HORIZONS CHILDREN'S CENTERS LLC","GCC","PRESCHOOL","435 EAST 70 STREET","MANHATTAN","10021","(212) 746-6543","2 YEARS - 5 YEARS","51","No","1045818","1014650021","108","05","012400","MN31","40.766072212349","-73.955953770875"
"DC1109","N/A","YESHIVAT SHAARE TORAH PRESCHOOL","SBCC","PRESCHOOL","222 OCEAN PARKWAY","BROOKLYN","11218","(718) 437-6101","3 YEARS - 5 YEARS","NO DATA","No","3124704","3053380060","312","39","049400","BK41","40.644382917227","-73.974325480736"
"DC11123","6467","BIG BIRDS PLAYHOUSE CORP.","GCC","PRESCHOOL","1859 RICHMOND AVENUE","STATEN ISLAND","10314","(718) 982-0550","2 YEARS - 5 YEARS","27","No","5034924","5020300047","502","50","027301","SI05","40.602661456556","-74.163086769773"
"DC1113","7229","YELED V'YALDA EARLY CHILDHOOD CENTER INC.","GCC","INFANT TODDLER","20 PARK HILL CIRCLE","STATEN ISLAND","10304","(718) 720-0090","0 YEARS - 2 YEARS","8","No","5043182","5028670100","501","49","004000","SI08","40.616301983587","-74.078107635299"
"DC11176","4827","HEARTSHARE HUMAN SERVICES OF NEW YORK","GCC","PRESCHOOL","115-15 101 AVENUE","QUEENS","11419","(718) 441-5333","2 YEARS - 5 YEARS","121","Yes","4198275","4094170046","409","29","012000","QN54","40.689061456405","-73.829132368825"
"DC11199","7509","MORNINGSIDE MONTESSORI SCHOOL","GCC","PRESCHOOL","251 WEST 100 STREET","MANHATTAN","10025","(212) 316-1555","2 YEARS - 5 YEARS","53","No","1056474","1018720001","107","07","018700","MN12","40.797622415233","-73.970871089286"
"DC112","2245","HEBREW INSTITUTE FOR THE DEAF AND EXCEPTIONAL CHILDREN","GCC","PRESCHOOL","1401 AVENUE I","BROOKLYN","11230","(718) 377-7507","2 YEARS - 5 YEARS","155","Yes","3179326","3066980051","314","45","053000","BK43","40.627485565342","-73.962638207779"
"DC1120","2171","TEMPLE ISRAEL OF THE CITY OF NEW YORK","GCC","PRESCHOOL","112 EAST 75 STREET","MANHATTAN","10021","(212) 249-5001","2 YEARS - 5 YEARS","95","No","1043104","1014090068","108","04","012800","MN40","40.772787983123","-73.961805407348"
"DC11205","7132","PRECIOUS MOMENTS DAY CARE CENTER, INC.","GCC","INFANT TODDLER","61-30 GRAND AVENUE","QUEENS","11378","(718) 416-1624","0 YEARS - 2 YEARS","9","No","4060644","4027130021","405","30","052100","QN30","40.721981571084","-73.904007547535"
"DC11227","7031","MI NUEVO MUNDO CORP","GCC","PRESCHOOL","31-05 51 STREET","QUEENS","11377","(718) 626-7394","2 YEARS - 5 YEARS","123","No","4025175","4011310022","401","25","029500","QN63","40.756909108565","-73.907848118618"
"DC11238","5113","ST. THOMAS MOORE PLAY GROUP, INC.","GCC","PRESCHOOL","65 EAST 89 STREET","MANHATTAN","10128","(212) 534-3977","2 YEARS - 5 YEARS","70","No","1081254","1015010027","108","04","015002","MN40","40.782530080576","-73.956784192465"
"DC11253","7639","COMMUNITY PARENTS HEAD START CORPORATION","GCC","PRESCHOOL","41-05 BEACH CHANNEL DRIVE","QUEENS","11691","(718) 471-7970","2 YEARS - 5 YEARS","93","No","4301797","4158310032","414","31","099200","QN12","40.59577858127","-73.773084015595"
"DC1129","7143","SHOLOM DAY CARE INC.","GCC","PRESCHOOL","82-04 LEFFERTS BOULEVARD","QUEENS","11415","(718) 480-1167","2 YEARS - 5 YEARS","71","No","4079530","4033300033","409","29","077500","QN60","40.707490359783","-73.831303175144"
"DC1130","6977","EVANGELICAL LUTHERAN CHURCH OF THE ATONEMENT","GCC","PRESCHOOL","87-07 31 AVENUE","QUEENS","11369","(718) 639-6074","2 YEARS - 5 YEARS","30","No","4033380","4013850040","403","25","033900","QN28","40.75974192008","-73.881208142881"
"DC1131","6659","BOOKS & RATTLES, INC.","GCC","PRESCHOOL","75-02 51 AVENUE","QUEENS","11373","(718) 899-1532","2 YEARS - 5 YEARS","132","No","4056772","4024670024","404","30","047900","QN50","40.736558784505","-73.88855674233"
"DC1134","5562","YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK","GCC","PRESCHOOL","232-26 EAST 47 STREET","MANHATTAN","10017","(212) 912-2507","2 YEARS - 5 YEARS","18","No","1037604","1013207505","106","04","009000","MN19","40.753571952213","-73.971287456831"
"DC1135","7309","ASSOCIATION TO BENEFIT CHILDREN","GCC","PRESCHOOL","1841 PARK AVENUE","MANHATTAN","10035","(646) 459-6091","NO DATA","125","No","1054495","1017750001","111","09","024200","MN34","40.805813672811","-73.938462311262"
"DC11386","7424","LITTLE ONES, LLC","GCC","PRESCHOOL","4-74 48 AVENUE","QUEENS","11109","(718) 392-1254","2 YEARS - 5 YEARS","45","No","4000019","4000180001","402","26","000100","QN31","40.744572696275","-73.956448020903"
"DC1144","N/A","GRACE CHURCH SCHOOL","SBCC","PRESCHOOL","86 FOURTH  AVENUE","MANHATTAN","10003","(212) 475-5609","3 YEARS - 5 YEARS","89","No","1008997","1005570001","102","02","006100","MN23","40.731666439833","-73.990304821831"
"DC1154","5561","THE CHURCH IN THE GARDENS","GCC","PRESCHOOL","50 ASCAN AVENUE","QUEENS","11375","(718) 268-7980","2 YEARS - 5 YEARS","34","No","4437656","4032880001","406","29","074900","QN17","40.71722931402","-73.841263716614"
"DC11541","5608","YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK.","GCC","PRESCHOOL","224 EAST 47 STREET","MANHATTAN","10017","(212) 912-2507","2 YEARS - 5 YEARS","29","No","1037605","1013200034","106","04","009000","MN19","40.75362687985","-73.971417370519"
"DC11544","7425","ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL","GCC","PRESCHOOL","108-22 69 AVENUE","QUEENS","11375","(718) 544-0007","2 YEARS - 5 YEARS","20","No","4052272","4022190015","406","29","073900","QN17","40.725059944986","-73.845130621627"
"DC1155","2249","ABC PRESCHOOL & KINDERGARTEN CENTER CORP.","GCC","PRESCHOOL","66-20 LAUREL HILL BOULEVARD","QUEENS","11377","(718) 672-2424","2 YEARS - 5 YEARS","131","No","4056053","4024190034","402","26","024300","QN50","40.7397407544","-73.898265807491"
"DC1161","2323","THE CHURCH ON THE HILL - REFORMED","GCC","PRESCHOOL","167-07 35 AVENUE","QUEENS","11358","(718) 539-0732","2 YEARS - 5 YEARS","72","No","4118837","4052520077","407","19","114100","QN51","40.765050056749","-73.798442971464"
"DC11641","6622","NORTHEAST BRONX DAY CARE CENTER, INC.","GCC","PRESCHOOL","4102 WHITE PLAINS ROAD","BRONX","10466","(718) 547-0501","2 YEARS - 5 YEARS","195","No","2063602","2048430034","212","11","042200","BX44","40.890772581607","-73.858812630583"
"DC11648","5598","YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK","GCC","INFANT TODDLER","232-26 EAST 47 STREET","MANHATTAN","10017","(212) 912-2507","0 YEARS - 2 YEARS","10","No","1037604","1013207505","106","04","009000","MN19","40.753571952213","-73.971287456831"
"DC11674","7237","ALL SEASONS DAY CARE, LLC","GCC","PRESCHOOL","1701 NEREID AVENUE","BRONX","10466","(718) 324-8300","2 YEARS - 5 YEARS","29","No","2070786","2050720013","212","11","043400","BX62","40.8978596482","-73.852409471238"
"DC1168","6955","KIDS CIRCLE DAYCARE, INC.","GCC","PRESCHOOL","164-04 GOETHALS AVENUE","QUEENS","11432","(718) 380-1280","2 YEARS - 5 YEARS","33","No","4152349","4070380037","408","24","126700","QN38","40.719336632006","-73.803603417334"
"DC11683","N/A","BE'ER HAGOLAH INSTITUTE","SBCC","PRESCHOOL","671 LOUISIANA AVENUE","BROOKLYN","11239","(718) 642-6800","3 YEARS - 5 YEARS","NO DATA","No","3339160","3044520080","305","42","105804","BK93","40.645630474319","-73.883642663652"
"DC1169","4186","ASSOCIATION TO BENEFIT CHILDREN","GCC","PRESCHOOL","316 EAST 88 STREET","MANHATTAN","10128","(212) 534-3656","2 YEARS - 5 YEARS","55","No","1050057","1015500035","108","05","014602","MN32","40.778777938379","-73.949875675665"
"DC11718","7696","GARDEN OF KNOWLEDGE DAY CARE & LEARNING CENTER","GCC","PRESCHOOL","1657 NOSTRAND AVENUE","BROOKLYN","11226","(718) 469-2229","2 YEARS - 5 YEARS","20","No","3110405","3049150046","317","45","082600","BK95","40.645722137489","-73.949017483098"
"DC11719","7941","MAGIC YEARS DAYCARE CENTER CORP","GCC","PRESCHOOL","90-20 55 AVENUE","QUEENS","11373","(718) 271-1850","2 YEARS - 5 YEARS","87","No","4045951","4018577501","404","25","045700","QN29","40.736827636989","-73.872606882747"
"DC25613","51759","SAINT CHRISTOPHER  OTTLIE","GCC","PRESCHOOL","411 THATFORD AVENUE","BROOKLYN","11212","(929) 234-6870","2 YEARS - 5 YEARS","157","No","3082389","3036040001","316","41","091800","BK81","40.660298257452","-73.907354945299"
"DC1174","4625","GARDEN SCHOOL","GCC","PRESCHOOL","33-16 79 STREET","QUEENS","11372","(718) 335-6363","2 YEARS - 5 YEARS","114","No","4437110","4012510012","403","25","028700","QN28","40.754783556409","-73.888082173494"
"DC11744","7594","MARY BOBB LEARNING ACADEMY","GCC","PRESCHOOL","1187 NOSTRAND AVENUE","BROOKLYN","11225","(718) 604-4400","2 YEARS - 5 YEARS","177","No","3107261","3048140007","309","40","080400","BK60","40.65834323155","-73.950370187471"
"DC11780","7545","KINGS WAY EARLY CHILDHOOD CENTER,INC.","GCC","PRESCHOOL","1742 EAST 18 STREET","BROOKLYN","11229","(718) 336-1599","2 YEARS - 5 YEARS","59","No","3183093","3068000023","315","48","055200","BK44","40.60749260574","-73.955144032899"
"DC11818","7734","HAPPY DRAGON OF USA, INC","GCC","PRESCHOOL","98-25 HORACE HARDING EXPRESSWAY","QUEENS","11368","(718) 446-9021","2 YEARS - 5 YEARS","150","No","4047330","4019180090","404","21","045500","QN25","40.735679128072","-73.859813694227"
